h11 h14 h16
47.91 65.22 61.88 
52.41 70.42 58.95 
38.68 55.07 63.40 
47.25 62.12 68.10 
47.06 66.54 66.92 
26.72 41.31 44.10 
28.70 36.70 42.99 
36.30 42.13 45.37 
32.52 35.57 43.05 
31.31 47.29 42.67 
