h11 h14 h16
3.23 3.89 3.60 
3.44 4.08 3.60 
3.07 4.13 3.62 
3.50 4.11 3.75 
3.89 4.51 3.76 
3.46 4.37 3.10 
3.95 4.40 3.53 
3.76 4.26 2.99 
3.89 4.67 3.73 
3.45 4.69 3.88 
