h11 h14 h16
26.27 53.28 32.85 
31.39 51.80 34.59 
28.12 54.99 35.42 
30.48 55.39 34.10 
31.74 83.09 33.14 
26.85 45.47 33.22 
29.06 60.06 36.92 
28.70 50.49 33.93 
33.04 52.31 38.68 
27.83 48.44 32.50 
