h11 h14 h16
3.52 4.62 4.23 
4.10 5.55 6.45 
4.24 4.52 5.83 
3.96 4.06 5.55 
4.12 4.34 5.49 
4.59 5.16 6.83 
6.55 7.76 6.53 
6.09 6.17 7.31 
5.38 5.32 7.14 
6.22 5.69 7.33 
