h11 h14 h16
0.19 0.27 0.25 
0.15 0.29 0.27 
0.23 0.33 0.39 
0.21 0.45 0.21 
0.17 0.45 0.34 
0.41 0.56 0.31 
0.37 0.40 0.36 
0.42 0.38 0.48 
0.31 0.42 0.52 
0.29 0.64 0.65 
