h11 h14 h16
0.23 0.27 0.31 
0.26 0.51 0.66 
0.21 1.22 0.33 
0.17 0.42 0.37 
0.21 1.23 0.39 
0.21 0.47 0.50 
0.19 1.28 0.39 
0.19 1.13 0.34 
0.13 0.64 0.42 
0.23 2.93 0.41 
