h11 h14 h16
0.95 1.11 0.65 
1.04 0.95 1.17 
1.00 1.14 0.76 
1.17 0.57 1.06 
1.03 0.87 1.20 
1.13 0.79 0.90 
1.12 0.79 1.10 
1.07 1.16 0.95 
1.02 1.17 0.91 
0.98 1.09 1.02 
