h11 h14 h16
38.83 50.23 43.54 
51.25 25.91 44.23 
31.36 42.90 49.61 
43.33 53.51 50.89 
46.97 58.09 58.73 
44.50 54.18 46.65 
35.65 51.49 50.45 
40.99 54.13 46.34 
55.96 40.80 53.72 
46.02 53.18 40.26 
