h11 h14 h16
0.37 0.29 0.43 
0.21 0.42 0.58 
0.38 0.82 0.59 
0.38 0.48 0.70 
0.29 0.34 0.51 
0.33 0.60 0.61 
0.37 0.70 0.52 
0.48 0.49 0.38 
0.49 0.69 0.54 
0.23 0.79 0.70 
