h11 h14 h16
0.00 0.12 0.11 
0.10 0.11 0.21 
0.15 0.15 0.14 
0.17 0.15 0.22 
0.17 0.13 0.13 
0.16 0.09 0.14 
0.13 0.12 0.15 
0.22 0.14 0.18 
0.12 0.09 0.19 
0.12 0.15 0.18 
