h11 h12 h13 h14 h15 h16 h17
0.62 0.90 1.09 0.52 1.09 0.97 0.77 
0.86 1.52 1.28 1.19 1.04 1.41 0.98 
0.77 1.53 0.64 1.72 1.67 1.39 1.24 
2.09 2.09 1.44 1.71 2.15 2.31 1.39 
1.04 1.45 1.01 1.27 1.19 2.22 1.27 
1.14 0.87 1.11 0.95 1.03 1.09 0.89 
1.32 1.68 1.46 1.71 1.58 1.83 1.03 
1.55 1.64 1.32 1.28 1.58 1.99 1.28 
1.23 1.05 1.17 1.23 2.02 1.66 1.15 
1.23 1.31 1.22 1.48 1.28 1.96 1.41 
1.31 1.03 1.16 1.37 1.86 1.51 1.14 
0.94 1.63 1.18 1.04 1.21 1.87 1.25 
1.33 1.10 1.06 1.31 1.20 1.98 1.00 
1.22 1.06 1.24 1.27 1.09 1.86 1.27 
1.07 0.95 1.12 0.99 1.20 1.80 1.29 
1.25 1.48 1.16 1.33 1.53 1.94 1.35 
1.30 1.27 1.38 1.20 1.40 2.10 1.13 
1.19 1.08 1.27 1.15 1.32 2.05 1.37 
1.40 1.19 1.31 1.19 1.40 1.97 1.27 
1.07 1.17 1.22 1.29 1.26 1.96 1.16 
0.72 1.13 1.60 1.16 1.02 1.70 1.34 
1.33 1.47 1.27 1.38 1.14 1.79 1.07 
1.16 1.96 1.14 1.22 1.17 2.07 1.11 
1.16 1.90 1.22 1.37 1.43 1.94 1.28 
1.24 1.76 1.18 1.11 1.11 2.10 1.33 
1.36 1.88 1.25 1.54 1.13 2.05 1.32 
1.21 2.13 1.47 1.54 1.41 1.98 1.23 
1.44 2.48 1.97 1.35 1.99 2.59 1.53 
1.32 1.91 1.48 1.38 1.66 2.28 1.56 
1.27 1.95 1.01 0.97 1.67 1.93 1.21 
1.22 1.74 1.10 1.30 1.18 1.91 1.01 
1.16 1.57 1.23 1.16 1.36 1.86 1.12 
1.03 1.82 1.21 1.15 1.08 1.69 1.26 
1.20 1.94 1.09 1.27 1.63 1.83 1.12 
1.19 1.68 1.09 1.02 1.07 1.78 1.11 
1.24 1.78 1.19 1.17 1.37 1.63 1.06 
1.12 1.89 1.19 1.35 1.59 1.81 1.28 
1.11 1.78 1.18 1.08 1.54 1.86 1.03 
1.17 1.86 1.46 1.07 1.81 1.95 1.29 
1.49 1.85 1.02 1.09 1.46 1.77 1.17 
1.00 2.11 1.26 1.13 2.00 2.04 1.28 
1.25 1.84 1.17 1.43 1.80 1.77 1.33 
1.35 1.98 1.37 1.41 2.08 1.96 1.16 
1.31 1.98 1.19 1.08 1.79 1.97 1.08 
1.20 1.67 1.16 1.25 1.66 1.91 1.17 
1.20 1.87 1.16 1.12 1.86 1.85 1.03 
1.18 2.01 1.09 1.07 1.98 2.01 1.32 
1.09 1.89 1.16 1.37 1.83 1.87 1.28 
1.34 2.00 1.21 1.52 1.84 1.95 1.17 
1.21 2.04 1.12 1.39 1.99 1.96 1.30 
