h11 h12 h13 h14 h15
6.25 6.37 8.17 7.77 6.36 
7.22 6.91 7.88 7.47 7.42 
7.27 9.53 10.21 8.54 9.21 
6.08 8.00 8.73 8.58 7.73 
9.18 8.39 9.92 6.99 9.18 
8.41 7.98 9.57 9.15 9.56 
7.48 7.66 8.84 8.74 8.75 
8.67 8.97 10.77 9.26 6.79 
6.79 7.26 7.15 9.08 7.29 
9.54 7.57 7.84 7.46 7.36 
7.79 7.12 7.43 7.46 7.40 
8.68 9.58 9.71 11.19 9.08 
8.84 4.93 7.62 8.95 7.41 
8.48 10.38 8.35 8.04 8.17 
7.17 9.69 7.86 7.42 7.25 
8.01 7.39 7.78 7.16 7.65 
9.69 8.23 9.54 8.03 9.24 
8.29 8.19 8.36 8.79 8.76 
8.94 8.66 9.35 9.67 10.07 
9.03 8.22 8.62 8.35 8.24 
8.92 10.72 7.77 9.99 8.18 
7.58 7.79 7.15 7.36 7.16 
9.74 9.73 9.69 7.13 9.42 
9.69 9.57 8.22 8.19 8.25 
10.47 8.36 8.67 8.73 9.59 
7.27 7.52 7.51 6.72 7.75 
9.49 8.68 10.07 8.76 9.04 
9.11 8.85 8.53 8.93 10.73 
8.77 7.20 8.75 7.38 7.55 
8.32 7.97 7.54 7.74 8.17 
11.09 9.91 7.85 9.44 8.23 
7.10 7.08 7.36 7.52 7.91 
10.58 8.60 8.39 8.62 9.35 
7.32 7.17 7.55 9.48 7.84 
7.87 6.57 6.93 8.73 9.14 
7.71 7.67 7.73 9.42 9.15 
7.93 7.33 7.26 7.63 7.43 
10.87 10.92 8.77 10.68 8.56 
5.78 10.22 8.31 10.22 8.91 
7.62 8.11 10.07 7.31 7.55 
7.20 6.76 7.29 7.08 7.32 
10.26 10.46 9.31 8.00 7.60 
8.00 9.28 8.69 7.44 8.42 
8.78 11.27 8.89 9.10 7.48 
7.51 7.43 7.01 7.23 7.65 
8.56 10.77 9.75 10.61 8.60 
8.93 8.64 6.73 6.65 8.37 
8.75 7.35 7.49 8.91 7.52 
10.31 8.01 9.13 7.92 7.86 
5.83 8.06 8.22 7.97 8.17 
