h11 h12 h13 h14 h15
0.31 0.76 0.47 0.38 0.38 
0.77 0.35 0.47 0.62 0.55 
0.46 0.46 0.34 0.42 0.85 
0.57 0.61 0.66 0.59 0.74 
0.66 0.80 0.73 0.81 0.70 
0.48 0.86 1.04 0.62 1.06 
0.86 1.76 0.82 0.55 0.69 
0.72 0.58 0.70 0.92 1.11 
0.68 0.76 0.88 1.00 0.82 
1.49 1.10 0.95 0.80 0.90 
1.16 1.02 0.74 1.27 1.08 
1.06 1.03 0.69 1.13 1.10 
1.37 1.38 0.83 1.41 1.50 
1.12 1.05 0.69 1.08 1.05 
1.38 1.00 0.76 1.06 1.02 
0.96 1.01 0.67 1.02 1.04 
1.18 1.22 0.73 1.24 1.25 
1.37 1.29 0.79 1.31 1.29 
1.00 1.02 0.78 1.19 1.11 
1.13 0.97 0.67 1.03 1.09 
1.08 1.11 0.82 1.06 1.11 
1.20 1.29 0.79 1.23 1.18 
1.10 1.14 0.71 1.17 1.16 
1.13 1.16 0.70 1.12 1.20 
1.16 1.16 0.81 1.21 1.08 
1.23 1.22 0.84 1.22 1.18 
1.19 1.27 0.67 1.12 1.27 
1.10 1.24 0.68 1.10 1.22 
1.03 1.02 0.54 1.05 0.96 
1.26 1.31 0.83 1.14 1.22 
1.00 0.98 0.57 1.03 1.00 
1.25 1.28 0.84 1.31 1.33 
1.27 1.15 1.23 1.13 1.19 
1.07 1.20 1.13 1.19 1.21 
1.05 1.04 1.07 1.03 1.10 
1.08 1.17 1.17 1.24 0.98 
1.29 1.13 1.27 1.17 1.06 
1.13 1.08 1.16 1.10 1.18 
1.23 1.15 1.25 1.22 1.12 
1.11 1.27 1.09 1.10 1.16 
1.08 1.15 0.94 1.13 1.21 
1.11 1.16 1.08 1.11 1.05 
1.02 1.12 1.05 1.08 1.06 
1.19 1.23 1.12 1.17 1.14 
1.19 1.17 1.00 1.23 1.16 
0.96 1.13 1.08 1.05 1.17 
0.98 1.12 1.10 1.03 0.95 
1.01 1.10 1.16 1.19 1.16 
1.18 1.08 1.04 1.16 1.15 
0.95 1.03 0.88 1.05 1.03 
