h11 h12 h13 h14 h15
7.22 6.94 6.85 7.06 7.40 
11.06 6.89 9.46 9.09 9.14 
8.01 7.93 7.64 8.40 7.59 
10.94 9.38 10.35 10.91 8.04 
8.45 12.17 10.31 9.87 8.45 
7.42 7.70 7.17 7.21 9.67 
7.04 8.20 8.79 7.81 8.92 
10.29 11.96 11.76 9.90 10.32 
10.79 13.09 10.90 11.01 11.61 
10.24 10.20 9.96 9.85 10.37 
10.68 8.79 7.95 11.06 11.01 
9.73 9.30 9.98 9.80 9.69 
10.90 9.46 11.80 11.33 11.43 
11.17 10.53 9.97 10.67 9.11 
9.94 11.44 11.84 11.67 10.93 
10.92 10.07 9.33 11.70 10.52 
10.24 9.81 11.19 11.24 8.34 
11.73 9.62 9.77 9.40 8.93 
11.64 8.34 9.30 8.82 8.89 
7.91 8.49 7.76 8.16 8.32 
10.84 10.70 11.00 11.97 10.91 
11.50 8.46 10.63 11.09 11.62 
12.47 11.02 11.37 9.49 9.38 
9.96 10.73 10.38 8.16 9.60 
11.07 10.59 11.99 12.05 12.44 
11.18 11.14 10.95 12.23 11.87 
11.30 10.77 8.73 11.21 10.39 
10.70 9.29 9.51 9.93 9.70 
10.69 10.88 11.49 11.61 11.10 
12.00 12.38 11.73 10.36 12.17 
12.72 10.41 9.82 7.55 10.56 
5.50 10.45 9.49 10.22 9.08 
10.01 10.29 9.62 13.25 10.17 
7.91 8.80 7.65 7.45 7.73 
11.59 9.55 11.78 9.82 11.74 
9.82 10.57 12.53 10.00 9.96 
9.95 10.44 10.33 11.97 11.52 
12.08 12.70 11.70 11.91 11.75 
15.12 11.92 11.15 11.55 11.61 
8.15 9.58 9.10 9.49 8.92 
12.74 12.57 12.08 12.28 13.12 
11.37 11.46 13.02 11.59 11.27 
10.25 10.75 10.04 10.25 11.91 
10.49 10.95 11.20 10.73 10.70 
7.67 11.38 11.84 10.12 12.77 
10.41 10.86 11.17 10.33 10.45 
11.03 11.40 12.07 14.63 12.80 
11.42 10.82 11.94 10.48 10.89 
12.47 11.87 11.35 12.04 11.29 
11.12 11.82 11.67 14.92 12.69 
