h11 h12 h13
0.31 0.37 0.27 
0.56 0.45 0.38 
0.21 0.23 0.36 
0.40 0.59 0.34 
0.32 0.69 0.26 
0.29 0.55 0.36 
0.23 0.58 0.28 
0.37 0.53 0.30 
0.82 0.48 0.24 
0.82 0.74 0.33 
0.58 0.33 0.76 
0.91 0.63 0.32 
0.70 0.56 0.27 
0.91 0.58 0.53 
0.74 0.58 0.28 
0.60 0.61 0.66 
0.66 0.39 0.61 
0.80 0.50 0.85 
0.84 0.57 0.85 
0.73 0.39 0.70 
0.70 0.43 0.72 
0.86 0.54 0.94 
0.71 0.44 0.66 
0.67 0.40 0.71 
0.73 0.89 0.79 
1.09 0.74 1.07 
0.95 0.66 0.97 
1.05 0.70 1.04 
0.90 0.50 0.84 
0.79 0.47 0.79 
0.70 0.50 0.70 
0.72 0.48 0.72 
0.71 0.40 0.68 
0.70 0.46 0.69 
0.87 0.47 0.84 
0.96 0.60 0.96 
0.65 0.40 0.60 
0.60 0.49 0.65 
0.66 0.45 0.68 
0.78 0.54 0.76 
0.87 0.74 1.01 
0.88 0.71 1.04 
0.94 0.63 0.90 
0.92 0.64 0.95 
0.68 0.48 0.67 
0.88 0.56 0.85 
0.97 0.69 1.10 
0.87 0.61 0.81 
0.73 0.48 0.70 
0.60 0.35 0.63 
