h11 h12 h13
72.22 71.85 81.19 
63.19 59.19 64.13 
58.44 67.84 56.47 
67.25 81.84 71.76 
53.97 60.70 67.98 
56.63 62.16 62.34 
66.75 56.16 67.03 
71.51 67.18 64.78 
65.53 68.60 65.03 
68.66 60.78 63.95 
58.26 64.53 64.71 
65.00 68.93 57.44 
64.89 62.04 59.30 
60.03 64.73 72.69 
45.26 61.19 64.92 
63.97 60.23 67.68 
60.67 65.00 66.39 
61.13 69.36 56.11 
51.52 63.76 62.92 
64.78 66.67 64.45 
70.50 64.84 60.73 
62.21 68.26 59.38 
62.81 56.33 67.59 
57.15 68.91 66.50 
67.62 58.21 53.86 
56.91 64.09 63.60 
64.91 69.40 64.42 
62.31 62.95 69.47 
62.54 55.95 60.70 
62.87 68.04 66.58 
60.14 58.31 64.25 
59.25 60.48 62.15 
62.65 65.65 55.66 
55.00 61.49 66.41 
51.42 64.40 52.48 
47.35 65.07 56.53 
62.73 56.13 62.51 
57.41 62.89 62.43 
67.14 62.68 62.02 
57.41 60.75 65.91 
64.98 60.33 54.98 
51.88 63.42 54.33 
61.07 54.53 62.77 
64.49 50.44 61.21 
58.38 61.61 65.62 
62.10 67.27 57.50 
66.95 63.79 60.40 
63.91 58.56 63.32 
60.83 67.08 56.85 
51.57 57.43 64.17 
