h11 h12 h13 h14 h15
79.58 88.81 74.44 72.88 93.47 
92.87 85.26 65.96 88.79 71.66 
83.96 90.81 83.48 72.37 63.44 
74.24 91.94 76.00 67.54 95.17 
93.59 63.06 77.33 63.95 86.98 
82.36 86.09 73.34 85.68 91.18 
69.98 88.58 81.50 77.29 89.38 
85.57 88.20 80.68 73.58 90.62 
63.69 84.25 82.20 92.16 88.44 
86.02 78.87 84.55 86.17 89.61 
89.96 82.05 69.96 88.73 78.59 
90.45 80.12 91.16 89.09 81.30 
85.94 83.62 93.31 85.02 83.48 
90.02 87.18 62.93 71.08 80.44 
78.70 90.96 78.86 72.19 88.94 
84.00 78.51 83.12 78.48 88.25 
71.31 85.68 90.87 92.84 83.65 
82.39 90.41 85.62 78.19 80.94 
84.38 85.05 85.14 89.06 85.26 
72.15 78.93 89.38 82.44 92.52 
67.28 88.23 78.70 67.66 90.85 
93.43 78.94 80.97 85.90 77.09 
91.73 58.81 71.50 73.16 78.69 
74.76 87.88 90.89 76.53 84.49 
85.30 78.23 78.04 89.69 88.23 
92.25 89.08 78.34 79.02 89.51 
76.27 90.60 86.31 70.66 80.29 
83.62 87.32 87.43 69.78 88.19 
83.21 75.63 90.15 68.05 95.23 
75.51 77.81 77.24 89.55 91.65 
81.81 79.17 92.64 82.54 84.70 
88.00 72.17 81.35 91.85 82.47 
89.74 90.33 66.45 86.70 94.02 
85.53 87.85 73.26 81.86 93.34 
80.09 89.26 67.30 78.17 79.52 
88.89 74.69 73.07 88.53 79.48 
86.59 86.06 76.09 87.00 86.82 
79.64 91.58 94.17 88.82 87.41 
78.57 76.98 88.32 94.19 86.88 
88.78 88.92 73.81 77.67 84.11 
79.95 92.98 68.42 91.23 74.47 
90.51 75.00 81.99 88.98 75.90 
86.56 79.15 90.24 86.68 70.43 
84.94 80.30 92.53 89.81 78.80 
87.67 91.22 76.89 75.62 88.78 
80.75 77.86 69.63 62.54 89.72 
89.72 76.78 68.01 73.90 88.78 
85.21 86.08 81.63 72.00 92.87 
82.58 65.31 89.00 86.66 81.01 
87.21 88.42 72.20 77.15 77.29 
