h11 h12 h13
54.51 54.80 62.35 
61.89 54.76 65.41 
66.99 59.15 58.53 
60.29 55.45 63.34 
63.62 65.13 61.00 
57.46 67.22 65.33 
56.85 65.83 51.96 
62.48 52.54 61.63 
64.87 64.87 58.18 
68.32 61.41 50.93 
60.37 58.95 58.63 
59.69 62.67 66.63 
59.19 63.83 60.52 
65.31 59.16 65.56 
68.81 60.25 62.38 
59.94 63.23 54.73 
59.97 61.70 67.85 
58.64 65.01 56.99 
61.40 60.22 58.27 
63.79 66.27 68.09 
51.07 65.62 63.84 
59.59 65.00 51.29 
56.76 63.68 53.76 
59.70 61.58 62.10 
64.95 60.29 67.74 
63.83 61.24 61.49 
63.77 65.65 64.91 
69.30 58.97 64.38 
64.08 56.98 54.53 
59.86 63.99 58.10 
58.03 65.22 60.90 
56.43 63.71 63.64 
53.54 63.61 59.24 
56.13 67.15 59.46 
64.56 57.43 57.61 
56.72 65.13 59.53 
54.81 57.04 62.95 
64.80 61.61 54.86 
66.15 57.40 63.41 
51.62 67.11 64.18 
59.57 61.87 63.32 
59.24 67.61 62.45 
62.43 54.06 65.14 
63.36 62.23 61.19 
63.73 59.87 63.42 
58.20 67.93 68.12 
64.47 56.43 58.29 
62.24 59.19 59.90 
63.12 66.68 60.71 
61.87 59.47 58.06 
