h11 h12 h13
4.50 5.02 4.94 
6.31 6.55 6.20 
7.43 6.97 6.55 
7.42 7.32 8.70 
7.59 7.99 7.80 
8.52 8.55 6.80 
9.27 8.88 9.34 
7.09 9.50 8.86 
6.34 6.92 6.82 
7.72 6.32 8.38 
5.40 5.50 5.83 
6.08 6.44 6.68 
7.02 6.68 8.26 
5.83 5.91 6.00 
6.86 7.22 7.36 
6.44 6.68 6.58 
5.10 8.15 6.55 
6.20 6.40 5.81 
6.88 6.66 6.65 
6.78 7.14 6.97 
8.23 6.65 6.52 
6.53 6.61 6.72 
6.07 8.23 6.32 
5.99 6.43 6.29 
5.99 7.33 5.64 
6.06 5.81 5.92 
5.53 7.46 7.38 
6.91 6.98 5.14 
6.02 5.94 5.52 
6.52 6.37 6.12 
5.64 7.11 5.45 
5.66 6.32 6.30 
6.76 6.44 6.38 
6.55 6.70 6.82 
6.89 6.95 6.88 
7.22 6.16 5.43 
5.94 5.77 5.93 
6.28 6.50 6.56 
5.43 7.13 5.21 
5.91 5.76 6.14 
6.43 6.17 6.74 
7.77 6.10 5.98 
5.97 5.83 6.33 
7.18 5.99 6.11 
5.77 5.90 6.06 
4.97 7.64 6.87 
6.16 6.28 6.40 
6.67 6.86 6.75 
6.40 6.50 6.27 
7.72 6.00 6.20 
