h11 h12 h13 h14 h15 h16 h17
0.79 1.33 0.82 0.85 0.79 0.64 0.66 
0.87 0.65 0.78 0.43 1.04 0.57 0.95 
1.41 0.64 1.06 0.70 0.50 1.08 1.39 
0.75 0.72 0.81 0.88 1.02 0.72 1.11 
1.59 2.39 2.21 1.72 1.78 1.83 2.36 
1.16 2.52 2.84 1.51 1.74 1.70 1.81 
1.20 1.47 2.13 1.38 1.40 1.32 1.59 
0.86 1.33 1.81 1.24 1.70 0.78 1.22 
0.84 1.40 1.93 1.42 1.47 1.20 1.24 
1.17 1.47 1.92 1.42 1.78 1.30 1.22 
1.15 1.46 2.06 1.10 1.81 1.25 1.06 
1.39 1.19 1.87 1.28 1.72 1.36 1.27 
0.76 1.06 1.73 1.15 1.73 1.23 1.20 
0.98 1.23 1.83 1.10 1.71 1.10 1.26 
1.02 1.04 1.83 1.25 1.77 1.20 1.09 
1.20 1.32 2.02 1.45 2.01 1.02 1.47 
0.93 1.39 2.04 1.46 2.09 1.52 1.26 
1.14 1.04 1.84 1.22 1.86 1.34 1.25 
1.12 1.27 1.89 1.14 1.74 1.21 1.35 
1.06 1.71 1.82 1.17 1.69 1.45 1.11 
0.89 1.99 1.96 1.31 2.00 1.07 1.23 
1.37 1.85 1.81 1.30 1.87 1.21 1.27 
1.27 1.98 1.98 1.38 1.95 1.20 1.46 
1.30 1.72 1.79 1.42 1.91 1.14 1.21 
0.78 1.84 1.87 1.18 1.81 1.29 0.89 
0.91 1.77 1.83 1.23 1.71 1.05 1.16 
1.26 2.04 2.00 1.14 1.97 1.36 1.31 
1.31 1.91 1.90 1.37 1.73 1.41 1.19 
1.06 1.87 1.92 1.29 1.87 1.38 1.29 
1.10 1.66 1.73 1.18 1.75 1.31 1.17 
0.81 1.81 1.86 0.98 1.87 1.19 1.00 
1.01 1.92 1.91 1.21 1.95 1.27 1.45 
1.31 1.92 1.89 1.17 1.95 1.39 1.15 
0.97 1.67 1.86 1.21 1.75 1.35 1.13 
0.78 1.95 1.99 1.36 1.96 1.25 1.15 
0.97 1.96 2.05 1.46 2.09 1.40 1.33 
0.81 1.57 1.76 1.24 1.79 1.12 1.13 
1.05 1.83 1.77 1.13 1.80 1.29 1.09 
1.11 1.85 1.83 1.20 1.74 1.30 1.15 
0.86 2.02 2.06 1.30 2.06 1.23 1.33 
0.82 1.84 1.84 1.17 1.77 1.11 1.05 
0.80 2.05 2.05 1.27 1.80 1.42 1.39 
1.00 1.85 1.84 1.38 1.85 1.15 1.25 
1.09 1.85 1.92 1.17 1.80 1.21 0.98 
0.85 1.79 1.63 1.28 1.78 1.22 0.76 
0.80 2.03 1.73 1.33 1.75 1.29 1.19 
1.23 1.88 1.94 1.19 1.76 1.04 1.30 
0.81 1.78 1.75 1.25 1.75 1.32 1.22 
0.78 1.77 1.80 0.94 1.83 0.95 1.23 
0.97 1.95 1.91 1.47 1.82 1.15 1.24 
