h11 h12 h13 h14 h15
0.47 0.59 0.37 0.43 0.51 
0.50 0.47 0.73 0.45 0.57 
0.51 0.63 0.46 0.77 0.59 
0.69 0.57 1.24 0.65 0.60 
1.03 0.68 0.97 0.55 0.55 
0.89 0.51 0.92 0.80 0.30 
0.90 0.80 0.93 1.01 0.52 
1.21 0.72 2.00 1.03 0.59 
0.76 0.63 0.64 0.62 1.53 
1.19 0.66 1.16 1.21 0.69 
1.17 0.52 1.20 1.13 1.16 
1.20 0.76 1.13 1.16 1.10 
1.00 0.72 1.19 1.06 1.05 
1.09 0.71 1.05 1.01 0.96 
1.10 0.75 1.13 1.17 1.13 
1.29 0.61 1.22 1.15 1.25 
1.06 0.63 1.01 1.00 1.03 
1.21 0.82 1.03 1.15 1.18 
1.07 0.59 1.00 1.09 1.09 
1.05 0.51 1.10 1.15 1.06 
1.12 0.63 1.09 1.08 1.11 
1.14 0.81 1.20 1.17 1.18 
1.05 0.62 1.17 1.17 1.13 
1.14 0.61 1.09 0.98 1.11 
1.13 0.63 1.07 1.10 1.04 
1.08 0.69 1.04 1.14 1.15 
1.16 0.62 1.19 1.22 1.23 
1.15 0.62 1.24 1.14 1.19 
1.11 0.57 1.08 1.04 1.15 
1.08 0.63 1.06 1.13 0.98 
1.10 0.61 1.10 1.18 1.13 
1.05 0.66 1.03 1.07 1.10 
1.13 0.62 1.09 1.18 1.18 
1.10 0.80 1.15 1.19 1.10 
1.17 0.62 1.15 1.14 1.20 
1.32 0.66 1.40 1.34 1.40 
1.09 0.59 1.06 1.05 1.11 
1.23 0.52 1.16 1.13 1.19 
1.10 0.62 1.17 1.12 1.14 
1.04 0.61 1.09 1.04 1.05 
1.19 0.66 1.23 1.19 1.16 
1.04 0.48 1.04 0.94 1.06 
1.22 0.67 1.21 1.25 1.17 
1.11 0.44 1.05 0.89 0.99 
1.04 0.66 1.15 1.03 1.10 
1.10 0.62 1.11 1.17 1.18 
1.14 0.71 1.13 1.12 1.14 
1.02 0.65 1.11 1.21 1.17 
1.04 0.64 1.12 1.07 1.08 
1.16 0.54 1.08 1.00 1.15 
