h11 h12 h13
45.40 56.09 45.58 
57.74 56.19 53.28 
52.08 60.40 57.69 
58.78 50.96 57.99 
47.67 57.61 59.71 
52.13 47.73 57.40 
39.73 52.60 57.70 
51.93 59.21 51.30 
49.64 54.56 57.46 
55.40 61.12 49.58 
57.90 52.40 53.11 
61.04 51.89 56.21 
53.63 45.08 59.17 
58.09 58.74 49.01 
58.39 60.15 62.32 
49.93 58.09 48.87 
47.03 52.69 58.67 
56.43 56.59 52.78 
62.67 58.73 53.27 
58.62 58.55 49.24 
51.00 56.47 61.45 
48.15 60.01 55.78 
53.59 60.03 53.86 
54.09 53.74 60.81 
57.74 51.98 56.16 
62.46 60.89 50.21 
58.92 59.46 50.70 
57.07 51.81 60.12 
57.34 58.04 60.82 
55.26 53.69 61.22 
58.67 52.87 54.03 
61.08 56.88 48.25 
51.44 59.71 52.27 
55.31 58.52 50.09 
49.20 60.37 53.50 
48.30 49.61 58.70 
54.99 50.53 59.11 
54.55 58.85 65.02 
58.18 62.27 53.85 
56.78 58.79 57.11 
57.53 62.85 62.99 
61.96 57.43 49.13 
53.57 58.21 45.69 
60.36 53.43 50.56 
56.15 52.90 61.01 
53.81 57.93 55.69 
56.40 59.46 60.15 
65.15 62.91 50.76 
53.17 57.45 62.73 
59.80 53.19 52.14 
