h11 h12 h13 h14 h15 h16 h17
155.66 150.75 117.75 160.56 153.78 141.29 141.29 
137.04 157.01 143.06 145.50 148.23 127.06 127.15 
150.28 155.12 135.89 147.47 152.69 137.71 129.89 
126.27 159.09 141.21 134.90 153.54 123.02 146.18 
145.87 136.69 147.26 127.02 141.33 127.07 152.36 
134.64 148.75 150.49 130.69 150.70 148.23 145.86 
151.28 136.12 150.63 150.57 159.08 140.17 145.21 
148.02 147.86 154.26 156.20 138.39 110.67 132.96 
152.43 154.98 147.02 125.51 118.67 131.37 152.15 
138.04 160.42 154.69 153.89 144.50 132.97 138.28 
152.93 148.64 144.93 132.69 121.82 119.77 152.05 
119.19 385.67 403.47 413.52 335.17 377.99 410.82 
821.47 814.42 804.53 803.47 807.41 805.82 828.54 
124.21 122.37 150.85 131.95 149.03 144.09 126.87 
149.17 144.35 126.02 146.86 122.29 138.15 143.68 
146.46 155.84 143.31 141.84 133.59 155.75 130.46 
148.62 145.87 146.21 128.75 138.66 116.15 120.10 
141.91 134.91 127.31 132.89 144.53 153.44 142.42 
142.79 132.60 151.48 136.03 122.22 141.24 140.26 
120.78 114.41 132.62 148.96 132.61 124.26 145.91 
151.30 124.40 150.56 124.31 129.18 148.10 126.59 
144.42 144.35 152.43 143.77 126.25 148.02 136.26 
139.54 148.48 154.42 142.42 119.85 141.68 133.91 
131.83 133.41 126.71 151.25 145.90 146.11 110.24 
125.95 112.56 117.73 125.56 143.19 144.10 151.02 
147.90 141.78 148.11 136.47 108.32 135.41 151.16 
152.52 155.62 151.09 131.99 143.22 154.52 124.64 
128.19 155.91 121.18 154.52 144.59 146.54 152.69 
137.99 151.27 118.94 143.40 124.00 129.55 151.29 
118.06 140.92 149.86 146.81 144.63 146.37 141.04 
142.02 137.29 137.74 157.90 141.63 157.73 136.41 
127.55 134.09 141.21 152.90 149.86 140.29 141.19 
134.26 140.77 150.62 138.14 149.05 113.70 156.78 
130.56 129.82 151.57 150.01 135.87 137.23 119.10 
110.96 129.04 146.84 147.29 150.78 150.59 133.41 
131.55 134.01 146.14 147.09 121.75 136.41 155.43 
120.10 136.81 149.27 145.87 135.54 129.02 131.48 
144.99 143.34 138.51 133.02 142.60 105.91 136.36 
143.46 141.52 145.57 159.49 148.15 131.71 148.68 
144.94 136.33 139.74 148.98 135.69 101.23 130.39 
154.78 152.74 125.29 126.39 146.20 130.50 153.31 
148.59 136.46 173.66 129.37 125.71 128.20 130.91 
138.50 121.42 139.84 141.56 152.60 129.37 148.66 
146.61 135.23 146.73 124.95 148.01 152.97 158.51 
156.31 135.57 118.63 145.42 123.40 137.27 149.33 
157.36 146.36 119.50 147.81 131.20 140.90 145.51 
135.93 124.72 156.93 145.95 150.64 144.06 132.02 
150.20 125.78 150.06 151.80 127.90 144.40 155.09 
151.25 148.82 152.94 134.14 142.93 140.05 147.99 
139.83 156.60 165.80 158.53 158.88 149.43 156.16 
