h11 h12 h13 h14 h15 h16 h17
7.03 8.92 9.42 9.84 9.73 8.82 10.86 
13.53 11.09 12.01 10.61 10.71 15.40 13.60 
8.60 10.46 8.49 8.83 9.53 9.40 9.78 
12.07 13.15 12.43 11.89 12.75 13.30 13.96 
13.29 11.71 10.87 16.37 13.08 12.96 14.66 
12.84 7.51 10.06 8.96 10.59 9.41 10.25 
10.40 8.12 11.00 11.10 10.24 10.90 10.06 
12.85 13.79 12.58 13.31 12.85 10.88 13.64 
11.94 12.41 14.47 10.93 11.03 11.75 11.18 
8.72 11.12 10.67 10.82 9.53 10.84 10.43 
13.65 12.00 14.21 12.80 12.13 14.87 16.03 
11.52 11.47 9.52 11.12 9.10 9.65 10.45 
13.67 10.62 12.54 12.28 12.21 12.86 12.83 
11.77 16.13 11.74 11.56 11.68 16.04 11.32 
9.39 8.64 8.63 10.45 9.62 9.24 9.05 
11.19 11.71 11.51 11.33 12.15 12.13 11.95 
12.33 14.21 12.91 12.60 13.19 12.69 15.60 
9.25 12.08 12.89 9.73 10.47 11.33 10.19 
9.64 10.14 10.87 10.50 10.18 11.04 11.10 
13.74 13.69 11.88 12.75 11.84 12.07 14.27 
9.24 12.45 13.54 11.69 12.69 14.73 11.36 
9.50 11.32 11.97 11.29 10.73 12.24 10.02 
11.60 15.58 10.78 11.76 12.71 12.68 12.34 
8.41 8.88 9.99 10.27 9.78 10.14 8.08 
13.98 11.56 11.82 11.59 12.24 15.26 12.54 
10.46 11.25 11.44 10.36 11.27 11.64 11.57 
11.69 10.84 13.19 11.40 11.96 12.74 12.21 
12.25 12.15 11.61 13.63 13.91 11.42 13.11 
10.85 11.55 11.67 12.64 14.67 10.89 11.01 
10.35 9.46 10.82 10.80 10.34 9.72 10.93 
13.25 17.59 12.23 12.92 12.06 13.30 14.15 
8.73 9.56 9.23 9.85 9.46 8.31 8.98 
12.46 12.01 12.69 13.03 12.18 14.20 13.10 
12.00 12.32 13.14 10.35 11.86 12.60 14.89 
11.13 9.88 9.41 10.90 11.11 9.43 9.89 
12.99 13.28 11.33 12.37 12.15 11.54 11.87 
13.07 12.49 12.82 12.01 12.64 11.75 12.35 
12.27 11.90 12.23 12.94 13.21 12.97 12.71 
12.27 11.79 13.03 12.65 10.86 14.35 12.05 
14.52 11.07 14.17 11.00 11.37 11.20 11.32 
14.15 12.05 10.28 9.27 10.80 9.31 11.86 
10.85 12.62 10.63 11.20 10.35 10.38 8.57 
10.25 10.00 9.74 10.23 9.75 12.62 12.02 
11.50 11.73 12.15 11.78 10.90 11.39 11.18 
12.27 12.21 11.91 11.27 13.66 11.30 14.32 
11.73 13.48 12.09 10.17 12.28 10.95 13.68 
12.56 8.89 12.02 11.19 11.02 11.82 8.73 
12.73 10.35 15.18 12.93 11.91 12.06 11.04 
8.91 10.42 9.00 10.31 11.02 9.10 11.06 
11.62 12.27 11.24 12.02 13.12 13.09 12.16 
