h11 h12 h13 h14 h15 h16 h17
8.41 7.81 8.55 7.70 11.96 8.73 8.24 
11.42 8.94 12.08 8.36 11.82 10.93 9.81 
17.22 16.50 17.92 15.93 14.93 18.86 14.92 
11.30 12.05 11.70 15.98 11.89 10.79 12.08 
9.29 10.83 9.34 9.97 10.34 9.73 9.78 
15.73 12.88 13.02 16.32 16.59 13.18 12.21 
10.15 10.94 9.87 12.06 11.25 13.02 12.20 
15.37 13.13 13.23 12.64 12.03 13.53 17.34 
8.66 9.62 8.93 8.64 10.10 9.49 8.51 
15.19 13.06 13.62 12.68 12.72 14.04 13.88 
13.83 13.51 12.01 12.41 12.98 11.04 11.33 
13.04 16.39 16.37 11.99 12.32 12.64 11.58 
9.05 13.01 8.68 10.73 10.41 12.29 10.96 
9.60 9.75 8.62 8.06 10.02 9.47 9.79 
13.11 15.07 12.68 13.39 10.85 12.40 11.71 
10.94 10.19 10.20 11.08 12.26 12.66 13.89 
9.73 10.39 10.06 10.32 9.21 10.00 8.03 
14.26 13.15 12.02 12.27 12.05 14.49 12.78 
11.54 11.04 13.79 13.38 11.30 10.95 11.28 
11.21 12.71 13.75 14.13 11.44 15.78 16.78 
9.50 13.17 9.10 8.20 8.63 13.34 13.04 
12.43 11.28 9.58 12.07 11.40 9.76 9.71 
14.03 13.08 13.84 12.48 13.68 12.67 12.79 
13.89 14.32 14.96 15.67 12.72 14.66 13.69 
11.79 12.70 12.69 13.22 12.28 12.01 11.97 
14.21 13.55 14.00 13.08 13.28 13.66 14.06 
15.08 13.17 15.06 13.65 14.68 15.33 14.51 
13.45 11.69 11.87 14.22 13.60 13.86 14.16 
13.65 15.80 13.10 11.95 16.58 12.45 12.53 
10.06 11.17 10.24 9.84 9.64 10.78 10.03 
11.68 12.38 11.62 12.47 10.78 12.28 13.49 
12.27 11.95 11.58 11.18 12.31 10.99 10.67 
12.44 14.06 13.16 14.11 13.39 12.86 12.14 
15.26 11.46 10.44 12.85 11.91 12.27 12.34 
9.95 11.72 9.03 11.18 10.03 10.46 9.19 
11.16 11.91 11.44 9.65 13.18 11.14 11.65 
12.11 12.55 13.86 11.93 11.76 9.87 9.50 
10.73 11.13 10.89 9.87 10.88 10.78 11.66 
12.45 12.20 12.52 11.37 11.85 11.89 12.25 
14.70 11.91 16.88 14.52 12.14 12.04 13.29 
9.16 9.46 8.18 7.49 10.15 8.86 9.89 
12.07 11.23 11.22 11.38 11.36 12.19 12.04 
12.24 13.25 12.74 11.90 11.44 14.43 14.42 
11.44 11.51 10.64 11.97 10.83 10.31 11.18 
13.82 11.94 11.79 12.91 11.05 10.86 10.72 
10.48 11.03 10.75 11.21 9.88 10.90 10.63 
13.28 12.61 12.40 13.18 15.52 13.06 12.74 
10.56 10.68 9.14 10.52 9.24 10.86 9.13 
12.33 12.76 13.06 12.95 10.87 11.68 12.93 
11.38 11.49 14.43 11.12 11.60 11.34 11.55 
