h11 h12 h13 h14 h15
105.09 109.95 73.56 98.50 87.17 
106.05 104.17 86.89 115.18 99.71 
92.95 88.46 109.07 113.83 98.60 
90.53 97.06 101.09 108.58 90.75 
112.24 92.13 97.78 99.49 104.68 
83.47 104.81 91.85 105.67 104.65 
91.66 109.50 98.66 109.59 108.63 
102.82 96.67 111.80 113.23 100.03 
100.47 108.75 112.24 82.58 97.93 
106.47 80.47 109.06 93.11 95.28 
99.36 105.72 108.83 92.49 102.15 
87.80 99.94 102.37 105.71 110.36 
108.70 88.73 97.13 99.19 114.59 
106.66 88.21 108.92 96.46 95.59 
101.72 90.75 102.99 103.25 102.97 
116.18 101.27 108.19 108.90 91.85 
107.73 84.17 100.47 97.72 104.27 
105.29 97.77 102.11 101.46 106.93 
112.54 100.46 96.94 95.82 91.69 
104.59 89.61 95.67 111.95 95.74 
100.31 103.74 88.45 97.07 113.07 
103.42 93.81 82.86 109.06 92.24 
96.17 95.78 88.64 97.20 109.45 
110.66 101.80 81.50 103.56 96.69 
87.13 91.17 100.05 106.32 110.37 
104.91 106.85 86.88 93.28 110.28 
106.78 87.43 108.04 108.37 81.91 
91.18 86.67 104.05 103.14 109.69 
111.72 97.94 102.05 98.07 77.21 
108.82 81.72 94.20 106.33 88.79 
103.65 92.06 99.71 101.96 102.12 
112.22 116.33 91.24 109.20 105.26 
113.42 101.62 102.55 91.34 101.90 
105.12 107.19 95.91 84.56 90.33 
101.16 91.61 110.46 104.15 106.00 
111.52 97.25 94.08 104.24 107.03 
88.83 100.98 107.34 94.79 106.77 
95.98 112.33 97.54 100.20 108.94 
103.29 82.36 107.27 91.24 101.26 
112.58 98.21 104.43 109.26 98.13 
96.31 101.78 101.92 103.20 92.95 
109.96 89.35 110.11 117.37 89.24 
103.35 105.18 94.63 97.84 107.96 
109.67 99.48 112.99 102.01 107.54 
106.55 93.16 101.79 86.38 112.11 
109.33 103.91 84.83 96.72 95.48 
92.99 79.08 103.14 108.80 95.76 
107.49 89.42 99.72 110.14 99.92 
106.93 91.66 106.99 100.19 102.57 
112.98 98.16 112.34 111.14 87.17 
