h11 h12 h13
4.78 4.99 5.07 
6.31 4.56 6.37 
6.72 6.31 6.48 
7.14 5.31 6.94 
5.17 6.62 6.68 
6.06 6.70 6.66 
5.95 6.96 4.46 
5.67 6.28 6.08 
6.50 6.39 6.23 
6.56 4.65 6.75 
6.03 7.07 5.42 
6.14 6.19 5.88 
6.28 6.46 6.17 
5.41 5.51 6.87 
6.01 5.90 6.05 
6.62 5.92 6.01 
6.25 6.30 6.12 
4.63 6.78 6.76 
6.30 5.99 6.78 
6.76 6.88 7.10 
6.96 7.16 4.82 
6.44 6.30 6.24 
7.51 6.31 5.68 
6.92 6.01 5.94 
5.85 6.07 6.02 
7.00 7.67 7.74 
8.55 7.24 7.39 
6.95 6.57 7.65 
5.90 6.07 6.18 
7.06 6.77 6.14 
6.48 6.42 6.28 
6.09 6.02 5.95 
5.64 7.28 6.34 
5.87 6.26 5.97 
5.20 6.44 7.10 
5.90 6.70 6.01 
6.16 6.14 6.01 
5.95 4.66 7.07 
6.06 5.50 5.87 
6.18 6.47 6.44 
6.21 6.60 6.62 
6.14 6.27 6.41 
6.69 6.66 5.09 
5.81 7.02 6.63 
6.36 6.04 6.26 
6.24 6.81 6.09 
6.53 6.02 6.28 
4.94 6.95 6.64 
6.14 6.16 5.89 
6.48 6.39 6.71 
