h11 h12 h13
4.78 5.09 5.19 
5.74 5.69 5.89 
6.33 5.94 6.26 
6.12 7.63 6.36 
6.14 5.90 6.92 
5.66 6.05 5.50 
6.34 4.66 6.73 
6.46 6.60 4.52 
6.94 6.44 7.22 
6.05 5.81 6.07 
7.16 6.52 6.44 
6.23 4.22 6.16 
5.90 6.47 6.10 
4.78 6.61 6.57 
6.35 6.56 6.30 
7.05 5.46 7.00 
6.43 6.59 6.45 
5.79 5.89 7.00 
6.01 6.02 6.15 
7.29 6.83 5.81 
5.91 6.04 5.91 
6.54 6.60 6.39 
6.73 6.57 6.44 
7.03 5.15 7.19 
6.16 5.96 6.24 
7.70 6.96 6.98 
6.58 6.87 6.73 
5.75 5.55 7.29 
6.09 5.97 5.66 
6.01 6.26 6.07 
6.04 6.33 7.80 
5.86 6.10 6.19 
6.69 6.87 5.85 
7.23 6.31 5.92 
5.97 6.08 5.37 
5.85 6.21 5.73 
6.64 6.50 6.16 
6.79 6.46 6.77 
5.85 6.31 6.06 
6.97 7.28 5.59 
6.29 5.99 6.23 
6.08 5.98 7.07 
6.33 6.22 5.67 
6.29 6.45 6.18 
4.81 6.50 6.63 
6.11 6.31 7.57 
5.35 6.01 5.89 
6.02 6.49 6.83 
6.17 6.41 6.23 
6.26 6.40 6.53 
