h11 h12 h13 h14 h15
0.74 0.53 0.48 0.35 0.62 
0.40 0.56 0.35 0.54 0.69 
0.60 0.71 0.29 0.77 0.62 
0.35 0.37 0.48 0.42 0.49 
0.92 0.76 0.42 0.30 0.41 
0.85 1.03 0.83 1.35 1.17 
0.97 0.99 0.96 1.68 0.84 
0.75 0.90 1.46 0.86 0.81 
0.68 1.28 1.30 0.81 0.80 
1.20 1.21 1.28 0.62 0.59 
0.80 1.32 1.30 0.70 0.87 
0.87 1.18 1.19 0.59 0.83 
0.51 1.07 1.16 0.90 0.74 
0.74 1.15 1.21 0.67 0.89 
0.63 1.17 1.03 0.49 0.88 
0.81 1.17 1.15 0.75 0.69 
0.66 1.14 1.06 0.73 0.78 
0.78 1.28 1.21 0.77 0.87 
0.86 1.22 1.12 0.83 0.79 
0.70 1.14 1.10 0.75 0.81 
0.56 1.08 1.07 0.63 0.76 
0.69 1.19 1.13 0.71 0.83 
0.88 1.21 1.23 0.74 0.83 
0.71 1.15 1.11 0.67 0.71 
0.73 1.10 1.15 0.78 0.84 
0.76 1.13 1.12 0.99 0.79 
0.89 1.28 1.21 0.81 0.78 
0.61 0.97 0.99 0.60 0.72 
0.81 1.13 1.15 0.65 0.71 
0.58 1.08 1.02 0.83 0.77 
0.76 1.20 1.16 0.95 0.74 
0.72 1.12 1.12 0.77 0.83 
0.84 1.23 1.27 0.52 0.72 
0.76 1.20 1.18 0.82 0.88 
0.74 1.15 1.13 0.83 0.80 
0.82 1.20 1.21 0.66 0.78 
0.72 1.09 1.17 0.68 0.88 
0.69 1.16 1.12 0.74 0.80 
0.74 1.24 1.19 0.79 0.86 
0.77 1.03 0.97 0.55 0.73 
0.64 0.98 1.23 0.84 0.72 
0.60 1.22 1.18 0.83 0.90 
0.85 1.26 1.24 0.91 0.74 
0.72 1.23 1.20 0.83 0.78 
0.72 1.12 1.09 0.64 0.82 
0.82 1.12 1.16 0.78 0.87 
0.79 1.14 1.18 0.86 0.76 
0.69 1.10 1.09 0.76 0.67 
0.64 0.94 1.07 0.71 0.72 
0.70 1.17 1.20 0.79 0.73 
