h11 h12 h13 h14 h15 h16 h17
151.54 123.32 144.51 126.76 130.28 146.31 153.07 
154.86 129.94 143.68 158.54 125.54 146.46 162.37 
141.67 147.66 155.51 141.36 154.26 121.13 122.46 
143.53 125.20 154.67 146.88 154.75 136.29 141.02 
132.82 142.49 157.87 151.13 122.53 144.34 133.80 
156.58 136.76 150.84 131.91 140.46 111.60 147.80 
131.83 146.48 152.57 126.73 147.11 118.57 134.02 
152.05 148.95 149.11 145.35 115.73 134.30 133.60 
135.78 155.16 132.31 140.67 158.61 142.98 136.33 
144.94 137.57 125.30 137.00 153.94 154.15 136.64 
153.66 91.23 156.94 136.60 141.15 123.94 140.86 
151.33 138.96 110.78 138.50 144.19 151.92 119.29 
140.68 132.19 140.50 145.99 139.24 158.35 139.92 
129.72 143.60 149.81 142.49 149.37 143.16 129.42 
148.78 148.37 150.33 137.50 126.54 148.90 150.87 
158.20 155.01 116.96 146.50 147.44 134.55 161.45 
130.28 131.04 140.78 147.69 142.85 141.03 158.02 
149.50 114.31 134.46 143.76 143.57 148.71 153.14 
140.65 151.41 153.78 139.65 144.96 156.71 145.42 
138.61 151.02 146.52 132.31 132.09 140.88 160.74 
141.87 140.48 116.06 137.62 154.45 138.47 135.03 
155.03 144.95 136.84 136.44 151.77 134.37 131.21 
119.80 147.06 134.83 134.38 146.84 154.62 139.02 
139.15 124.51 125.43 143.85 117.67 156.63 135.87 
132.22 127.02 148.54 153.20 148.76 132.54 121.86 
128.80 136.35 157.36 130.70 139.98 154.56 151.72 
154.73 148.56 139.23 153.00 95.89 136.55 121.81 
126.75 149.66 128.63 135.66 138.90 151.32 156.93 
155.08 154.65 157.69 126.01 134.64 138.26 145.57 
147.47 149.34 149.30 132.84 142.06 153.40 159.02 
147.65 141.24 150.58 142.79 136.86 135.41 148.89 
150.64 138.30 138.99 148.49 138.38 160.37 155.25 
159.42 151.84 148.36 126.30 141.21 150.35 136.42 
153.39 135.92 129.82 137.00 151.17 132.90 132.47 
139.78 137.58 152.09 135.95 126.00 121.13 152.13 
133.62 127.72 135.16 155.21 151.14 145.78 148.54 
123.69 142.67 151.22 128.06 148.94 139.36 144.09 
133.03 147.75 135.91 149.56 154.45 152.86 126.98 
149.76 103.86 146.13 145.09 125.38 157.42 144.84 
149.04 128.54 128.21 136.19 147.81 148.49 138.45 
134.52 154.98 151.93 160.63 151.77 129.17 118.95 
145.39 149.78 117.34 142.64 141.01 126.38 154.36 
127.24 138.90 140.71 124.44 145.76 155.25 142.16 
137.79 150.20 153.12 137.93 146.90 115.38 137.56 
150.97 133.69 139.14 157.46 148.24 140.54 126.60 
112.76 137.21 144.94 123.37 151.27 128.51 150.57 
153.14 139.77 141.77 129.43 141.44 138.33 134.23 
125.29 135.02 155.40 146.96 129.45 140.26 152.76 
132.01 129.77 153.65 153.00 145.44 151.21 121.88 
143.74 149.55 141.06 146.16 152.49 136.77 126.23 
