h11 h12 h13
0.21 0.23 0.19 
0.31 0.37 0.39 
0.30 0.38 0.33 
0.34 0.43 0.48 
0.25 0.37 0.34 
0.18 0.25 0.26 
0.29 0.30 0.42 
0.33 0.24 0.29 
0.24 0.33 0.32 
0.33 0.24 0.27 
