h11 h12 h13 h14 h15 h16 h17
0.73 0.64 0.55 0.61 0.71 0.56 0.42 
0.87 0.81 0.52 0.94 0.74 0.46 0.63 
0.83 0.77 0.64 0.89 0.81 0.77 1.05 
0.57 0.81 0.76 1.10 0.96 0.83 0.74 
0.73 1.27 0.70 0.87 0.92 0.56 0.91 
2.93 2.46 2.27 2.33 2.63 2.60 2.53 
1.62 1.85 1.76 1.56 1.55 1.68 1.85 
2.09 1.59 2.16 2.17 1.41 1.93 0.90 
1.06 1.33 1.21 1.72 1.07 0.98 1.66 
1.27 1.26 1.33 1.81 0.90 1.09 1.70 
1.05 1.17 0.99 1.61 1.01 0.93 1.45 
0.86 1.38 0.84 1.41 0.92 0.94 1.49 
1.00 1.18 1.16 1.48 1.05 1.01 1.60 
0.98 1.38 0.86 1.61 0.85 0.83 1.55 
0.99 1.37 1.12 1.49 0.95 1.01 1.54 
0.96 1.41 1.12 1.73 1.15 0.82 1.69 
0.95 1.37 1.14 1.65 0.95 1.08 1.48 
1.03 1.14 1.08 1.51 0.94 1.03 1.57 
0.99 1.43 1.07 1.61 1.14 1.10 1.68 
0.99 1.23 1.03 1.42 0.68 0.96 1.43 
0.92 1.37 1.00 1.63 1.13 0.96 1.71 
1.24 1.63 0.99 1.70 1.08 1.12 1.75 
1.01 1.36 1.14 1.67 1.06 1.10 1.71 
1.00 1.65 1.02 1.55 0.74 0.85 1.69 
0.87 1.20 0.82 1.54 1.02 0.89 1.47 
0.94 1.62 1.09 1.71 1.08 1.16 1.65 
1.10 1.52 1.19 1.58 0.98 1.06 1.62 
0.90 1.52 0.93 1.57 0.96 1.00 1.49 
0.92 1.47 0.95 1.51 1.02 1.08 1.49 
1.31 1.41 1.10 1.59 1.01 0.86 1.55 
0.94 1.49 0.96 1.32 1.04 0.90 1.45 
1.14 1.42 0.80 1.59 1.03 0.83 1.53 
1.24 1.69 1.15 1.54 1.11 0.94 1.61 
1.12 1.73 1.16 1.77 0.94 0.94 1.73 
1.22 1.75 1.16 1.81 1.22 0.91 1.73 
1.09 1.66 0.91 1.63 1.02 0.95 1.61 
0.97 1.65 1.03 1.63 1.11 1.04 1.56 
1.12 1.57 0.80 1.57 0.96 0.90 1.39 
1.08 1.54 1.01 1.67 0.93 1.04 1.67 
1.15 1.72 1.19 1.52 1.06 0.98 1.56 
0.89 1.55 1.02 1.49 1.25 0.98 1.49 
0.88 1.50 1.11 1.27 0.97 0.93 1.46 
1.00 1.64 1.19 1.59 1.01 0.94 1.61 
1.10 1.78 1.19 1.84 1.26 0.90 1.78 
1.02 1.47 1.14 1.47 0.94 0.87 1.54 
1.33 1.60 1.14 1.62 0.93 0.99 1.63 
1.03 1.54 1.03 1.35 0.98 0.92 1.56 
1.15 1.43 1.17 1.49 0.85 0.92 1.45 
1.20 1.54 1.05 1.55 0.86 0.93 1.55 
1.05 1.77 1.52 1.75 1.00 1.14 1.72 
