h11 h12 h13 h14 h15 h16 h17
9.17 9.18 9.27 8.18 10.23 9.47 9.36 
15.49 15.50 16.22 17.94 15.32 17.52 17.23 
21.23 18.17 17.62 23.30 20.87 20.53 17.27 
18.19 18.46 16.81 17.68 15.15 19.03 17.45 
15.67 15.56 16.83 15.47 15.93 13.41 16.68 
15.96 16.13 17.74 13.77 14.68 16.55 17.21 
14.97 13.60 14.62 14.57 13.32 14.12 13.69 
16.03 13.93 17.94 15.60 14.29 15.55 17.02 
13.36 13.13 13.05 14.36 15.35 15.41 13.80 
15.95 20.22 14.64 16.74 15.08 13.91 15.27 
10.03 11.62 13.64 10.20 9.67 9.85 11.56 
13.79 15.22 15.92 12.19 16.55 11.99 12.48 
15.41 13.02 14.61 13.12 15.98 13.50 14.95 
18.30 19.39 18.67 20.25 19.09 19.07 28.27 
11.03 12.47 12.69 11.68 10.89 11.18 10.89 
14.72 15.49 16.39 14.79 16.54 16.31 16.60 
15.90 14.33 16.73 16.36 15.64 17.22 16.82 
17.83 16.00 15.31 17.49 16.14 16.32 15.59 
13.53 18.09 15.00 16.17 14.25 13.98 12.89 
12.89 13.93 10.81 14.21 14.38 12.55 14.17 
15.01 16.25 14.80 16.60 16.84 15.98 14.67 
14.51 14.35 14.66 14.07 15.19 17.79 15.82 
12.47 13.40 13.61 14.41 12.79 14.62 11.71 
16.36 17.59 16.98 15.70 17.28 16.06 15.54 
15.46 16.32 16.25 15.94 16.69 17.00 17.52 
16.83 19.45 15.38 16.18 15.78 15.34 15.48 
13.35 13.96 15.27 13.66 14.96 13.37 14.07 
16.58 15.21 16.29 17.24 15.69 17.46 16.85 
13.83 13.64 15.82 17.40 16.10 16.73 16.88 
16.25 14.06 15.05 15.60 14.66 14.44 15.13 
13.88 13.68 16.68 14.67 14.46 16.15 14.74 
13.46 15.36 15.89 16.95 13.92 17.22 16.02 
14.98 15.57 15.76 13.95 14.09 14.32 17.76 
15.32 15.21 15.03 15.25 14.70 14.46 11.51 
14.03 16.14 16.24 15.91 15.50 16.02 16.03 
19.11 17.05 18.95 15.67 16.86 15.49 18.41 
14.46 17.22 14.35 16.84 14.96 16.50 14.72 
13.44 15.10 17.00 16.82 16.09 17.09 16.71 
16.57 16.27 17.19 16.89 15.89 16.79 18.03 
15.81 14.54 13.91 17.15 13.33 15.31 16.19 
13.69 13.22 14.42 13.32 13.83 14.86 13.81 
17.04 16.62 18.77 14.00 17.65 16.03 17.43 
15.27 14.56 14.09 14.99 13.57 15.74 13.75 
13.77 14.41 14.45 18.11 14.91 18.51 14.73 
13.14 14.29 13.38 13.77 14.85 14.55 15.29 
18.63 16.29 16.14 16.33 16.43 18.08 18.03 
16.08 15.05 15.60 16.73 19.57 15.24 14.93 
12.50 13.58 12.89 12.43 12.69 13.71 13.12 
16.37 15.77 15.50 16.76 15.75 15.47 16.50 
15.10 16.33 15.70 18.00 16.86 16.76 16.05 
