h11 h12 h13
61.67 53.53 46.81 
60.95 60.58 56.94 
67.01 60.59 61.43 
62.79 60.01 56.92 
53.39 52.74 63.52 
58.84 45.63 61.46 
54.44 58.81 65.89 
51.08 59.17 63.28 
62.79 63.94 49.34 
48.60 61.04 62.88 
56.90 56.82 64.11 
60.52 54.62 58.53 
55.47 58.79 66.71 
53.36 63.94 55.62 
59.08 63.77 57.79 
58.20 66.31 55.11 
64.08 61.41 56.33 
56.17 65.51 59.45 
64.16 57.49 60.49 
61.76 64.27 58.04 
50.41 62.80 61.14 
53.43 64.57 55.77 
55.19 60.92 63.45 
56.13 61.90 62.15 
66.19 57.96 61.23 
63.25 62.80 50.98 
62.20 57.45 66.57 
56.86 66.08 62.95 
52.75 66.42 59.57 
57.05 56.63 65.27 
60.05 65.91 53.45 
55.94 64.71 59.77 
65.23 57.93 50.47 
63.78 59.98 63.59 
64.08 61.66 62.95 
66.43 59.78 65.26 
68.97 68.21 65.22 
63.00 70.79 64.04 
58.94 62.47 57.64 
52.94 66.60 60.37 
59.21 56.20 65.50 
57.94 54.44 66.10 
57.71 62.81 59.16 
55.06 64.49 59.03 
60.32 49.51 60.94 
63.63 53.35 66.00 
62.25 54.26 55.24 
63.30 49.87 60.49 
60.43 62.38 57.41 
58.20 66.08 61.32 
