h11 h12 h13 h14 h15 h16 h17
8.03 9.32 8.84 8.05 7.90 7.62 7.99 
12.11 11.35 11.54 14.69 14.37 11.75 12.95 
11.91 10.93 11.48 14.92 9.72 13.88 10.88 
9.38 9.80 9.68 9.55 10.93 9.19 10.07 
13.40 12.44 12.57 13.22 11.43 11.90 12.26 
14.14 13.82 13.40 11.61 12.87 13.53 12.79 
11.63 14.61 11.67 14.39 13.41 12.83 12.57 
10.92 11.70 11.36 11.07 10.93 10.70 10.71 
14.88 14.01 13.21 13.36 14.62 10.85 12.90 
11.76 12.55 9.04 15.95 11.55 11.03 12.63 
8.88 9.69 9.34 9.41 10.13 9.34 10.33 
12.55 13.08 12.96 13.65 12.43 12.88 10.07 
11.13 15.89 11.20 11.57 13.20 16.33 12.21 
9.75 7.60 10.40 10.96 10.46 7.98 10.10 
11.51 10.89 11.11 12.34 13.03 15.64 11.88 
9.81 9.98 10.82 10.25 9.32 9.32 9.49 
13.08 11.04 12.27 11.02 11.11 12.97 11.36 
12.90 12.59 13.01 12.04 9.16 11.69 12.41 
13.38 13.04 13.28 10.40 13.82 12.68 12.89 
12.41 13.12 12.36 10.17 12.97 13.58 12.59 
13.48 11.70 10.89 10.59 13.62 11.31 10.86 
11.77 11.00 11.12 12.31 13.87 11.77 11.54 
11.21 10.39 10.78 11.45 15.28 10.96 14.45 
8.96 8.61 8.43 8.93 12.94 11.01 7.87 
8.76 10.84 11.35 13.65 11.28 8.62 10.93 
10.80 9.95 11.05 8.83 11.22 8.70 10.66 
11.58 12.63 11.78 12.30 13.09 13.82 12.56 
12.60 12.02 14.12 11.13 13.33 12.58 11.56 
12.37 12.12 11.62 14.43 11.25 11.15 10.52 
8.44 11.18 11.16 11.22 14.03 12.99 14.14 
9.18 9.45 8.04 11.22 13.90 9.27 9.55 
8.17 10.36 11.64 9.00 9.70 7.77 9.32 
10.05 10.85 12.04 9.95 10.71 14.58 9.86 
9.82 9.44 9.21 12.63 11.24 9.05 10.05 
11.19 13.02 11.60 10.16 9.96 9.82 10.26 
11.99 11.21 10.33 11.46 11.00 10.41 10.48 
12.02 11.58 16.81 13.08 13.56 11.89 11.68 
8.78 8.44 9.22 9.72 9.47 9.51 8.96 
13.55 12.79 12.58 12.98 13.43 12.77 12.56 
13.70 11.66 11.32 12.90 12.99 12.61 14.05 
11.79 10.40 15.72 11.39 12.12 12.72 10.08 
9.69 8.96 8.81 10.08 9.22 9.05 8.74 
12.65 11.35 12.80 13.24 13.69 12.80 11.30 
11.97 12.40 13.47 12.12 11.64 10.36 11.78 
10.22 11.38 11.92 11.49 11.24 15.29 15.63 
8.00 8.20 11.52 10.49 9.77 10.83 11.27 
11.71 14.22 11.32 11.77 13.11 12.10 12.58 
11.14 14.92 10.03 12.09 11.17 11.93 10.44 
9.92 9.51 10.24 8.96 13.62 9.80 10.63 
9.06 9.63 8.72 9.72 9.19 10.04 5.99 
