h11 h12 h13
4.87 4.96 5.02 
5.65 5.30 5.90 
5.51 6.75 5.27 
6.66 5.88 6.99 
5.93 6.54 5.89 
6.44 5.78 5.85 
6.44 5.09 6.57 
5.69 5.23 6.60 
6.09 6.14 5.96 
5.99 6.31 6.36 
7.51 6.40 6.10 
6.35 6.02 6.09 
6.71 6.54 7.42 
6.48 6.46 5.14 
6.70 6.19 5.91 
5.67 6.44 5.52 
5.42 5.71 5.57 
6.41 6.30 6.19 
6.44 6.17 6.12 
6.41 6.49 6.18 
7.06 6.76 6.79 
6.38 6.04 6.07 
6.31 7.36 4.52 
5.47 6.14 5.85 
6.59 5.99 6.11 
5.73 6.41 5.88 
6.53 6.46 7.20 
6.12 6.49 5.97 
6.71 5.20 5.05 
5.71 6.13 5.92 
5.54 6.90 5.39 
4.86 5.96 6.15 
6.24 6.15 5.98 
7.34 7.28 5.66 
4.97 6.84 5.95 
6.09 6.11 6.23 
6.57 6.04 6.27 
6.51 6.40 6.35 
6.75 6.30 6.26 
5.50 5.23 6.78 
5.85 5.68 5.95 
6.10 7.19 5.80 
5.80 5.70 6.22 
7.06 7.11 5.14 
4.84 6.32 6.26 
6.02 5.82 5.71 
6.58 7.43 5.13 
6.01 6.25 5.97 
6.55 6.75 7.40 
5.92 6.14 6.21 
