h11 h12 h13 h14 h15 h16 h17
129.07 153.12 142.76 116.78 143.64 131.61 104.66 
127.71 125.46 125.51 141.11 150.40 148.39 136.12 
409.61 433.31 414.46 398.69 432.40 426.44 440.48 
518.59 510.83 503.63 483.86 482.08 503.25 516.29 
112.73 141.68 150.73 126.49 117.60 151.09 138.68 
146.87 126.15 120.52 134.29 131.37 144.91 141.04 
150.47 149.31 127.43 150.63 123.20 148.61 136.91 
141.62 142.51 130.26 142.47 154.27 149.77 128.00 
129.48 145.48 121.13 141.03 151.87 144.88 143.33 
137.73 144.27 129.29 130.00 142.25 152.39 141.62 
118.14 132.68 132.12 140.53 145.61 126.33 145.83 
146.52 117.49 123.06 154.91 140.79 148.52 142.58 
141.20 123.07 141.11 139.20 146.51 143.16 143.52 
155.02 160.54 142.26 155.31 154.60 136.89 142.13 
131.24 124.44 138.51 150.16 150.31 124.63 104.40 
150.08 140.54 130.21 139.55 139.45 127.47 153.06 
152.69 152.45 168.01 127.07 165.36 150.07 142.46 
161.48 144.04 145.62 142.82 157.82 147.25 160.34 
146.35 136.63 167.18 158.51 160.77 146.07 137.53 
153.38 124.38 148.58 138.57 148.85 124.01 132.89 
149.48 146.96 144.06 142.33 119.65 121.89 128.21 
131.37 126.16 143.43 153.36 144.82 123.68 140.47 
126.23 118.64 149.57 136.12 143.48 106.11 142.91 
152.13 139.76 120.21 133.78 138.68 132.44 132.41 
135.79 149.32 134.50 132.12 121.61 130.64 151.43 
148.11 121.83 139.13 130.67 137.63 124.86 142.92 
148.40 138.18 147.03 131.34 119.22 130.46 145.09 
149.88 133.64 139.22 147.36 143.50 153.37 130.15 
144.97 154.87 142.35 144.45 144.89 116.66 116.07 
134.37 132.31 142.43 126.02 145.96 142.36 123.85 
130.74 135.26 140.10 140.84 150.67 146.88 111.92 
129.97 110.37 127.90 134.82 152.29 136.80 148.84 
134.52 140.61 145.69 121.68 132.38 145.88 122.85 
139.92 114.90 152.45 137.73 151.03 131.18 131.78 
115.94 148.22 133.93 135.30 151.04 138.80 118.18 
147.78 119.42 134.36 129.36 142.51 119.46 138.38 
144.95 142.89 132.53 145.20 144.23 146.64 125.29 
125.24 156.14 147.62 144.41 139.51 156.24 136.65 
130.86 121.05 128.12 145.73 146.21 147.22 146.13 
117.97 130.86 141.80 138.29 153.83 149.89 149.63 
120.48 146.55 128.97 124.49 130.52 151.50 145.47 
214.72 215.82 186.67 199.77 198.20 175.64 201.33 
154.49 172.65 157.97 173.03 137.20 143.53 173.50 
143.43 127.21 142.21 162.63 151.10 129.22 156.68 
163.57 163.67 156.81 170.66 169.29 180.89 181.03 
148.53 154.08 142.52 157.62 124.81 138.44 160.82 
121.86 150.71 142.17 145.81 142.31 147.83 128.87 
147.64 139.49 137.52 122.95 131.20 152.50 156.64 
148.69 133.81 114.58 132.19 140.29 146.98 154.11 
110.63 141.24 138.47 142.54 155.73 133.75 150.12 
