h11 h12 h13 h14 h15
7.96 7.12 7.48 7.78 7.76 
11.60 9.38 9.78 12.04 9.55 
10.03 9.17 10.17 9.55 9.42 
8.85 10.40 10.32 10.32 10.46 
10.75 10.46 10.98 12.03 11.59 
11.18 11.58 12.66 10.75 10.30 
10.04 9.83 9.73 8.33 10.20 
10.63 11.08 8.86 11.14 11.47 
11.35 10.74 10.80 10.95 11.82 
9.36 10.98 11.74 9.99 10.88 
11.36 9.13 9.51 11.11 9.27 
10.11 11.23 9.99 10.13 10.22 
11.69 8.70 11.13 10.89 11.49 
9.30 11.69 10.98 9.61 11.67 
11.90 9.96 11.67 11.72 11.18 
9.51 9.72 9.99 9.36 8.09 
11.20 10.70 9.24 13.40 10.58 
8.49 8.93 8.49 8.19 8.15 
10.21 12.39 10.94 10.91 11.11 
10.54 9.95 10.00 9.25 9.38 
9.49 10.54 11.04 11.44 10.60 
10.04 10.09 10.35 10.39 9.93 
10.38 10.72 12.13 11.27 12.36 
8.83 10.56 10.61 10.52 8.90 
11.49 10.70 9.18 8.98 9.18 
11.17 8.88 10.00 10.89 9.35 
9.01 8.76 11.21 9.78 11.19 
9.79 10.34 10.77 10.55 8.97 
8.31 8.36 11.44 10.92 12.73 
7.70 8.25 7.55 8.26 8.35 
11.78 12.00 10.44 11.57 11.27 
10.85 11.55 10.21 11.23 8.40 
10.37 13.24 10.72 10.88 9.11 
8.10 8.74 7.58 7.95 8.38 
9.84 10.24 12.24 13.46 13.28 
8.00 7.95 9.11 8.80 9.96 
9.88 10.18 10.32 11.23 9.13 
9.20 10.73 11.23 11.15 9.82 
10.45 10.66 12.48 10.36 10.56 
9.08 11.09 11.09 10.76 9.37 
9.68 11.02 14.52 11.76 11.30 
7.90 8.55 8.22 8.42 7.99 
11.03 10.61 12.42 12.23 10.44 
10.21 11.24 10.61 10.99 8.77 
8.82 10.85 10.16 10.30 10.69 
9.94 10.28 10.56 10.08 10.30 
10.10 13.54 10.00 10.39 10.02 
8.21 8.14 7.47 8.01 8.46 
9.90 11.54 9.43 10.03 11.15 
12.50 9.50 9.68 9.98 9.39 
