h11 h12 h13
55.56 58.13 59.25 
63.10 65.95 63.61 
78.32 74.87 69.46 
77.59 76.71 69.24 
71.95 61.61 64.79 
62.56 47.22 57.95 
49.87 59.50 67.17 
64.73 58.74 56.54 
61.30 58.94 64.74 
63.62 69.61 63.41 
60.08 60.64 65.45 
69.39 56.82 57.81 
59.38 58.20 67.83 
58.77 66.39 59.66 
59.76 67.71 57.96 
66.25 60.96 51.91 
67.15 64.92 51.89 
50.72 61.66 67.03 
60.07 65.46 58.46 
62.29 67.40 61.49 
60.46 64.21 62.88 
59.47 70.29 68.21 
55.26 67.35 64.40 
55.71 63.52 61.99 
65.91 59.78 63.96 
61.47 60.98 67.27 
59.35 61.71 66.11 
62.86 51.96 64.87 
62.95 53.76 65.17 
59.10 58.25 65.83 
61.51 60.34 52.47 
64.53 60.31 64.75 
60.75 64.34 67.87 
62.80 55.37 66.92 
64.36 59.21 63.45 
62.60 61.50 63.76 
70.80 61.62 61.99 
62.39 56.82 63.72 
60.82 57.85 67.73 
51.44 57.10 65.31 
57.01 62.30 64.01 
65.21 57.71 62.51 
61.55 59.08 63.69 
61.29 65.84 63.21 
59.85 62.77 68.13 
66.37 54.36 60.88 
64.49 63.71 59.45 
53.84 61.88 68.01 
58.76 61.76 63.79 
67.47 67.20 62.90 
