h11 h12 h13 h14 h15 h16 h17
14.19 13.68 12.60 13.28 16.13 13.81 13.86 
20.72 21.91 22.23 24.13 23.49 21.29 23.13 
21.45 21.00 22.64 24.17 21.72 24.39 24.68 
22.79 22.36 22.49 23.48 20.18 20.59 25.02 
19.34 20.55 19.09 18.99 21.63 22.13 21.10 
23.52 23.14 20.68 23.91 18.42 28.26 25.93 
21.32 25.87 12.18 13.15 22.34 20.88 11.81 
12.01 11.38 12.36 10.78 12.64 13.39 12.81 
14.76 16.03 16.25 15.75 15.89 15.24 16.29 
14.68 14.50 13.81 13.96 14.98 13.99 14.04 
15.95 15.24 14.13 15.00 16.83 14.75 16.92 
16.88 17.06 16.14 13.71 17.41 16.45 17.52 
18.52 17.92 17.52 16.65 16.34 14.53 20.79 
12.82 13.64 14.63 14.11 18.05 14.83 13.80 
19.44 16.73 18.67 17.78 16.31 19.26 17.87 
18.29 20.15 16.91 19.18 24.16 19.35 17.68 
12.31 11.07 11.80 11.60 13.04 13.46 14.12 
15.22 18.87 14.25 13.73 13.19 13.37 14.21 
11.04 10.64 13.43 10.95 13.77 13.47 12.40 
13.07 14.86 15.69 12.07 13.76 14.41 15.12 
11.37 14.70 13.30 13.68 14.79 14.26 14.00 
14.66 14.19 14.54 14.42 14.80 15.19 14.03 
15.85 19.28 15.54 15.26 16.72 12.62 15.00 
9.72 14.02 10.22 11.00 10.64 9.66 10.28 
9.91 12.44 9.45 10.06 13.01 10.92 12.18 
14.50 13.79 13.63 14.83 13.36 14.54 12.70 
13.03 15.11 14.45 17.49 12.01 12.03 13.85 
12.36 11.65 10.06 12.48 9.76 12.75 9.59 
12.92 13.66 12.48 14.36 13.38 15.95 11.90 
14.27 12.82 14.41 11.66 12.80 11.61 11.35 
13.67 16.63 12.14 12.47 13.14 12.08 18.02 
10.37 8.62 10.86 12.93 12.09 11.32 12.31 
18.63 19.42 19.63 20.51 21.32 20.18 20.76 
26.88 21.60 26.42 21.24 25.11 20.48 26.17 
29.97 22.57 22.00 19.51 22.87 19.18 19.75 
12.84 14.29 13.23 15.97 15.64 19.34 15.15 
16.27 15.68 17.11 14.77 15.36 18.84 18.07 
11.57 11.83 15.43 12.06 12.50 14.13 15.57 
16.03 15.63 15.10 14.02 14.29 13.27 15.78 
15.11 15.88 17.29 17.36 15.64 17.76 16.26 
16.39 16.31 17.08 16.06 16.42 18.56 16.22 
16.21 17.17 16.78 15.05 15.67 14.82 15.36 
17.50 18.78 17.84 15.94 16.57 15.34 18.94 
17.52 15.81 14.06 18.52 14.05 15.64 16.08 
16.15 16.42 16.89 14.71 14.32 15.44 15.13 
14.86 16.87 16.19 16.37 15.18 16.19 16.62 
15.10 13.71 14.12 14.94 14.76 13.97 15.48 
15.99 14.90 16.69 14.62 14.55 15.58 16.03 
14.28 13.65 15.20 14.68 15.36 15.04 15.74 
13.08 15.26 15.99 15.38 16.46 15.51 15.61 
