h11 h12 h13 h14 h15 h16 h17
9.28 8.77 10.94 9.24 10.51 10.14 10.01 
23.66 18.56 15.37 22.59 15.72 16.23 16.77 
15.93 16.80 21.26 18.14 18.86 20.41 21.64 
17.49 18.84 17.21 21.21 20.21 16.19 18.15 
18.37 16.65 20.30 17.57 17.17 15.62 18.67 
82.67 85.21 91.34 85.65 85.81 87.33 81.36 
664.04 839.08 741.85 711.12 840.38 838.04 837.82 
15.34 16.82 15.48 15.92 15.85 16.69 15.67 
16.66 16.60 17.15 15.36 15.62 15.68 16.25 
16.85 16.70 17.74 16.66 17.02 16.52 17.40 
15.82 16.32 15.13 14.67 15.46 15.98 16.62 
13.70 19.58 14.00 15.43 17.00 17.67 16.68 
11.41 11.75 11.83 10.86 10.96 12.15 11.26 
14.85 14.76 14.38 14.40 14.59 14.54 14.44 
15.85 16.86 15.49 17.55 16.27 16.52 16.24 
15.39 16.25 14.37 14.73 16.70 14.48 15.03 
15.43 15.86 14.76 15.96 16.88 14.97 15.18 
15.55 17.80 17.29 17.49 15.70 16.70 16.12 
15.27 14.10 14.77 15.09 16.35 14.82 14.61 
14.94 15.08 15.79 14.37 14.22 13.89 16.15 
14.93 15.76 15.89 14.23 14.56 15.33 14.74 
14.91 15.40 16.01 16.97 16.49 14.57 14.21 
14.35 13.08 13.24 14.20 16.66 15.71 13.94 
18.16 15.39 13.26 13.95 14.20 14.35 12.76 
10.92 12.48 12.70 11.32 12.88 13.29 13.48 
16.14 15.00 14.01 14.87 14.60 15.55 15.24 
14.85 14.96 17.44 15.08 14.95 14.47 14.47 
12.60 15.11 13.88 11.99 13.35 12.25 13.18 
13.83 13.40 14.33 13.21 15.08 12.94 13.98 
13.57 14.17 13.49 14.80 18.18 15.21 14.33 
11.93 11.10 12.39 15.09 12.40 12.23 12.06 
14.08 14.66 16.68 13.46 13.90 13.07 13.09 
13.44 13.84 13.03 13.00 19.45 13.14 12.50 
9.93 11.35 10.20 10.64 10.40 9.61 11.23 
15.01 14.47 15.89 15.62 15.05 15.19 17.05 
13.17 13.70 15.03 14.75 12.43 14.30 13.63 
16.44 14.68 13.62 17.11 15.26 14.27 13.70 
18.66 13.54 13.71 13.49 14.34 12.52 11.96 
9.85 10.61 12.76 10.92 10.32 11.83 9.78 
16.04 13.89 14.01 14.37 16.13 14.46 15.11 
13.45 15.77 15.23 14.40 12.67 14.90 14.30 
16.50 13.22 14.86 15.59 13.81 16.72 15.46 
15.05 13.89 13.64 12.59 16.29 20.07 14.78 
10.88 11.13 10.98 11.75 11.50 8.11 9.46 
18.64 14.23 16.00 14.26 15.80 14.61 14.93 
12.59 14.18 12.85 12.31 13.82 13.53 13.08 
14.16 15.87 16.00 15.71 14.60 16.57 13.10 
14.58 16.28 15.96 15.22 16.43 14.25 16.20 
14.33 14.50 14.92 18.87 15.34 18.83 15.28 
13.81 11.91 11.95 11.80 12.08 11.69 10.96 
