h11 h12 h13 h14 h15
122.36 114.39 117.59 108.26 82.80 
92.23 86.83 79.28 77.61 72.15 
88.86 78.12 70.40 86.78 91.29 
95.05 89.53 87.89 83.00 92.49 
89.52 98.51 102.67 78.30 92.17 
82.33 76.77 89.13 88.39 82.87 
91.35 81.63 87.77 98.89 91.33 
78.55 91.76 68.54 77.00 88.25 
92.50 92.80 81.18 94.46 94.29 
96.07 91.97 90.32 91.75 86.30 
80.59 95.46 90.61 84.45 80.64 
62.87 83.82 84.71 77.23 93.61 
88.00 76.14 83.46 83.04 90.99 
79.71 89.29 84.44 75.60 92.02 
73.28 69.81 94.26 85.21 85.02 
87.85 80.29 70.32 78.83 94.20 
86.61 83.88 67.43 79.02 91.15 
81.47 90.76 69.86 80.92 92.42 
89.35 89.67 82.70 79.43 77.62 
79.26 82.64 89.71 86.39 90.43 
78.06 88.25 95.05 91.28 94.98 
90.53 86.51 87.34 86.30 78.03 
94.40 80.13 97.69 93.86 84.17 
81.64 70.87 81.57 85.71 92.65 
88.36 92.84 85.35 80.29 76.41 
93.04 91.32 85.72 79.04 79.39 
84.71 90.52 90.97 74.65 83.88 
91.29 95.70 76.96 93.39 77.77 
73.93 76.52 92.19 84.97 83.56 
88.18 88.57 80.08 89.45 63.38 
79.64 86.37 93.25 90.35 89.28 
93.43 67.12 87.81 91.22 86.73 
91.19 86.60 93.79 81.56 65.55 
88.35 86.94 58.54 73.20 87.70 
79.40 96.93 79.08 94.16 90.11 
84.67 88.83 71.20 70.81 91.13 
84.40 81.94 91.48 88.82 76.60 
92.37 84.22 83.71 73.42 84.75 
88.95 90.25 74.57 82.25 64.19 
87.69 87.71 90.33 86.31 76.20 
80.07 72.00 82.85 93.99 92.22 
87.28 77.40 83.21 92.12 66.70 
71.52 90.01 84.40 79.10 92.03 
82.79 77.66 80.89 92.77 78.77 
78.25 85.10 86.32 76.93 91.59 
85.79 84.50 87.84 78.52 93.07 
65.91 92.99 76.67 89.43 95.86 
72.68 78.56 95.15 88.27 90.58 
92.93 86.72 83.79 65.32 81.18 
66.62 91.01 82.89 69.59 77.46 
