h11 h12 h13 h14 h15 h16 h17
155.54 123.80 153.51 160.80 119.67 139.23 139.61 
141.14 156.38 136.63 139.05 155.85 138.13 139.88 
119.01 132.95 160.66 148.17 131.65 134.89 156.45 
126.51 145.53 157.56 152.36 129.69 146.99 147.98 
124.39 149.60 136.54 141.26 138.13 142.68 156.63 
145.70 152.77 157.59 138.13 135.74 159.04 140.80 
124.63 139.28 123.92 126.75 152.03 143.26 144.49 
135.46 137.83 150.71 147.59 159.28 144.56 150.07 
130.71 146.74 128.28 131.39 144.74 155.89 156.85 
146.69 148.36 129.80 159.76 142.66 147.69 136.25 
127.98 137.44 135.77 152.49 116.34 126.98 151.04 
154.82 151.06 128.09 142.74 149.50 141.71 147.97 
162.20 120.64 148.86 154.10 142.75 140.85 154.79 
126.03 122.21 152.57 140.53 143.66 149.83 122.86 
135.69 122.25 129.90 147.96 150.56 158.41 129.77 
140.88 129.90 146.12 152.63 146.32 141.19 129.81 
128.00 144.09 111.51 141.76 151.33 133.92 157.66 
125.07 139.69 155.15 130.06 144.14 129.13 147.58 
152.36 99.95 138.92 143.83 132.97 135.31 151.55 
117.26 144.88 154.39 151.94 148.22 128.70 140.94 
132.38 152.86 122.34 138.50 154.28 147.06 139.33 
146.07 121.07 130.49 148.20 152.62 158.84 138.10 
144.83 152.17 146.97 124.20 156.40 129.72 149.47 
147.68 131.87 157.16 127.71 136.93 133.88 142.52 
148.37 148.15 127.33 116.49 142.34 157.54 130.42 
153.00 143.22 145.80 159.03 145.24 130.56 135.76 
131.60 157.27 143.75 152.17 148.58 140.81 146.75 
156.00 128.41 127.67 153.28 137.21 145.33 137.66 
124.27 132.77 157.34 145.69 140.44 154.85 123.55 
137.55 146.04 146.28 139.14 151.86 149.63 127.00 
132.13 109.48 145.68 154.60 157.13 125.99 150.71 
126.36 136.85 142.99 152.17 146.44 138.80 149.65 
120.19 137.48 134.35 129.91 153.56 144.26 155.61 
146.63 141.16 141.40 153.99 141.53 138.18 152.26 
127.56 145.62 148.99 161.78 140.81 141.34 151.50 
143.03 107.61 150.89 132.21 151.81 138.88 135.05 
149.07 147.11 148.33 133.65 117.58 154.97 148.84 
123.11 143.92 146.63 156.49 127.84 158.09 152.24 
141.28 135.66 141.65 137.10 121.10 156.49 149.54 
125.68 147.78 140.70 150.31 140.57 148.35 122.77 
156.57 124.53 149.47 156.27 145.93 124.88 148.98 
117.72 156.34 134.26 97.27 153.60 144.89 152.63 
144.56 131.66 156.92 132.61 123.09 148.37 144.08 
151.16 123.76 137.56 148.82 137.16 126.62 123.96 
136.73 157.75 148.25 138.88 127.22 150.15 148.40 
140.87 116.59 146.59 124.88 136.00 154.00 148.42 
130.88 152.54 154.44 116.06 135.71 145.89 145.97 
150.13 154.22 139.65 154.05 136.03 136.03 154.14 
127.52 158.18 156.28 108.98 146.30 157.93 142.06 
141.52 152.96 154.72 132.68 161.96 142.67 147.82 
