h11 h12 h13
4.90 4.98 4.78 
6.46 4.72 6.41 
5.91 6.07 5.88 
5.92 6.36 6.37 
6.82 6.56 4.82 
6.35 6.11 5.75 
5.47 5.60 5.35 
5.60 5.69 7.11 
5.70 5.82 5.95 
5.78 5.85 5.78 
6.71 6.39 6.56 
6.29 6.50 6.44 
5.68 5.94 5.86 
7.08 6.79 5.66 
6.12 5.90 6.36 
4.63 6.29 6.18 
6.07 6.13 5.65 
6.82 5.66 6.89 
5.98 6.31 6.07 
6.57 6.84 4.86 
6.00 6.04 5.88 
4.94 7.11 5.13 
5.71 5.92 5.64 
7.35 5.93 6.03 
5.32 5.89 5.98 
5.60 7.00 5.31 
5.54 5.36 5.36 
6.15 6.13 6.32 
6.11 6.09 7.30 
6.04 5.91 6.24 
5.48 6.88 5.40 
6.08 6.22 6.36 
6.24 6.05 6.31 
6.60 4.76 6.57 
6.22 7.00 5.85 
5.94 5.86 5.80 
6.54 6.56 6.50 
6.88 4.80 5.00 
6.05 5.89 6.14 
5.73 5.83 6.02 
6.58 6.55 6.43 
5.79 7.26 5.61 
6.09 5.69 5.83 
5.48 6.12 6.55 
4.93 6.36 4.85 
5.78 5.94 5.85 
6.36 7.09 6.18 
5.67 5.72 5.86 
6.57 6.70 4.93 
5.84 6.18 6.34 
