h11 h12 h13
55.41 61.81 54.69 
54.67 59.54 63.21 
60.96 69.94 62.33 
50.73 59.44 61.94 
60.83 55.49 63.74 
53.46 65.48 57.80 
64.95 58.34 64.18 
66.83 52.64 62.35 
63.71 60.66 59.09 
70.09 69.02 53.66 
70.72 64.12 58.53 
68.56 68.08 61.10 
66.69 65.42 57.28 
61.88 63.08 70.78 
58.06 66.81 62.77 
51.25 63.58 68.91 
63.59 66.59 58.92 
64.49 66.94 64.76 
60.21 66.63 67.32 
68.82 72.06 62.42 
87.79 88.69 98.21 
58.77 70.47 59.74 
67.09 67.04 66.08 
600.45 602.01 599.12 
69.62 63.69 73.44 
61.19 69.08 59.09 
60.06 48.09 66.09 
63.25 58.70 54.58 
55.13 61.89 67.61 
63.92 65.86 63.77 
63.94 67.37 62.70 
65.28 57.92 56.04 
54.09 64.82 59.20 
63.44 60.18 55.28 
55.76 65.96 63.47 
65.91 61.12 56.81 
60.32 64.37 53.98 
55.93 56.48 65.31 
58.09 63.24 59.06 
61.69 56.91 59.78 
70.56 66.79 50.84 
60.85 63.87 60.08 
58.34 66.30 69.61 
57.39 61.64 58.29 
62.35 56.78 65.29 
55.40 62.99 51.10 
59.16 61.35 60.21 
58.31 61.95 63.98 
65.64 59.12 59.85 
56.77 62.91 58.85 
