h11 h12 h13 h14 h15
105.20 105.93 92.26 96.76 96.04 
99.11 100.87 93.82 97.55 109.55 
106.71 110.95 111.63 93.19 94.61 
91.82 102.47 109.28 95.90 104.02 
93.84 99.10 108.95 105.12 89.52 
100.60 102.45 91.05 91.66 107.76 
102.54 101.96 103.02 87.71 113.04 
94.21 108.12 97.24 92.53 89.52 
98.04 107.48 102.54 91.10 89.62 
99.71 91.63 100.99 82.51 110.10 
96.72 95.91 104.79 92.14 89.39 
95.31 75.30 103.56 101.57 101.36 
101.79 86.06 98.93 100.64 107.78 
91.61 94.78 85.90 98.64 106.02 
101.67 84.20 107.03 101.19 94.63 
96.46 102.36 100.45 100.84 91.07 
106.36 109.58 97.89 107.31 93.87 
98.32 105.49 109.84 76.40 92.48 
95.17 105.43 93.70 86.07 98.45 
104.07 89.93 103.93 94.77 80.63 
84.97 98.05 105.68 95.67 107.37 
75.90 95.29 92.49 102.90 103.68 
102.39 94.89 89.68 105.19 104.61 
97.80 112.10 105.58 100.17 95.10 
96.42 89.55 84.59 102.29 82.99 
88.92 92.75 101.66 104.11 106.23 
98.10 86.17 98.72 107.49 109.23 
101.21 102.55 86.51 87.51 104.35 
79.66 106.28 99.75 100.11 93.72 
88.60 94.96 102.93 101.81 79.13 
103.56 89.14 99.80 98.81 85.17 
96.19 106.21 109.52 104.47 90.91 
101.49 87.69 91.53 86.83 106.80 
108.04 87.61 91.81 90.29 96.17 
80.57 93.56 77.45 101.02 101.15 
106.77 87.42 83.60 102.07 102.74 
100.05 104.46 93.11 83.19 96.64 
101.21 94.27 93.73 105.53 89.92 
106.49 104.27 83.55 97.19 90.45 
81.14 98.89 89.40 105.54 90.15 
95.77 97.69 105.98 104.81 78.51 
97.97 99.59 97.96 99.74 99.75 
104.18 104.53 97.25 112.93 113.59 
86.82 107.79 101.39 96.54 97.12 
73.69 96.09 102.54 108.03 90.60 
101.09 85.47 105.26 85.30 90.97 
107.17 91.48 92.20 106.20 100.97 
99.53 110.41 96.73 89.10 97.99 
100.73 92.86 112.12 100.89 107.00 
96.13 105.52 99.01 94.15 98.66 
