h11 h12 h13 h14 h15 h16 h17
151.06 120.28 153.75 137.59 142.29 145.21 135.22 
138.92 150.75 145.65 154.32 137.31 141.56 139.90 
152.53 132.97 136.88 133.69 132.94 149.79 125.04 
129.65 145.90 130.27 123.08 145.81 150.25 131.54 
141.56 151.90 108.22 155.54 139.95 138.21 148.35 
142.97 137.61 124.61 146.36 155.10 109.24 150.41 
145.56 140.80 144.68 146.22 131.97 146.57 137.45 
125.94 141.30 149.70 145.15 156.98 159.50 140.16 
154.83 144.22 147.60 127.40 130.07 141.97 138.27 
129.97 151.69 139.67 139.79 117.54 146.51 145.47 
142.76 148.41 119.66 152.41 127.14 135.67 156.10 
124.37 149.46 152.27 130.88 126.50 141.58 128.98 
137.77 121.94 144.96 150.24 152.60 150.93 108.83 
137.27 157.26 108.89 151.95 130.86 141.93 142.21 
140.90 141.53 128.23 148.51 156.80 139.31 148.03 
130.93 131.27 135.26 123.40 151.26 149.82 147.17 
122.48 134.44 150.91 155.70 135.73 140.87 139.54 
119.28 142.68 144.27 127.48 152.12 130.98 147.81 
156.27 135.79 154.62 154.85 135.48 152.92 154.99 
142.29 171.98 159.90 174.79 137.79 162.80 154.65 
152.09 139.58 111.24 151.06 129.06 144.08 150.03 
136.72 155.45 130.79 138.88 98.26 147.14 145.31 
126.50 128.69 124.72 146.34 151.48 149.24 136.68 
154.13 131.51 145.91 153.47 140.55 135.98 118.27 
136.15 148.98 154.16 153.07 144.23 128.87 135.49 
153.49 148.72 128.66 155.07 142.69 142.05 132.68 
114.27 136.10 124.29 152.74 153.86 152.81 143.45 
156.66 132.88 132.38 140.60 138.63 127.80 139.06 
145.66 123.67 143.29 139.88 140.98 141.28 128.99 
154.61 147.49 142.47 139.69 144.84 137.76 138.08 
142.26 144.50 144.36 153.19 135.96 128.10 158.64 
130.78 143.84 137.57 131.19 149.11 137.77 156.04 
127.98 132.54 145.26 146.74 136.33 150.35 154.43 
148.82 139.16 121.12 149.45 127.52 131.96 144.02 
176.15 193.07 178.29 187.19 191.62 193.65 203.06 
130.24 129.42 151.37 134.47 151.91 137.07 152.84 
145.59 143.25 160.33 129.91 126.58 126.93 156.87 
131.88 140.97 150.25 159.67 134.15 158.43 145.10 
139.21 124.05 131.38 146.21 148.42 141.88 138.44 
154.07 155.41 139.36 150.70 139.30 132.91 153.55 
132.52 146.05 157.06 144.39 145.51 153.67 145.97 
152.10 153.60 149.31 120.59 126.22 144.92 134.01 
130.15 147.75 157.11 150.22 133.65 132.12 136.91 
147.02 115.35 137.43 138.58 153.58 134.06 151.32 
129.18 138.82 138.32 147.65 157.80 136.36 143.51 
145.18 150.82 123.26 113.52 145.84 121.09 139.66 
130.07 133.49 136.48 131.56 123.33 151.12 157.17 
137.31 145.20 154.66 146.96 119.00 121.87 131.89 
150.01 149.08 127.04 139.36 150.81 135.88 138.23 
137.27 145.48 160.59 157.20 158.47 136.08 122.83 
