h11 h12 h13 h14 h15
7.15 7.15 7.44 7.34 7.34 
10.70 12.10 10.44 11.06 11.41 
9.98 11.30 11.82 12.03 11.57 
11.21 10.76 10.87 10.22 10.70 
11.18 11.82 9.76 10.06 10.33 
10.53 10.21 10.32 10.66 8.06 
11.44 11.05 11.26 10.96 8.93 
10.61 13.37 11.97 7.81 10.19 
9.20 9.44 9.65 9.87 9.54 
11.35 11.38 11.20 11.49 11.59 
11.60 11.41 11.32 12.29 10.57 
11.99 12.33 11.04 10.06 10.72 
10.62 10.36 10.18 10.56 9.70 
11.95 10.11 10.55 12.86 10.13 
9.56 10.36 9.79 7.94 9.44 
11.35 9.10 11.07 10.45 10.55 
11.40 10.21 9.95 11.54 9.71 
10.84 10.31 9.80 8.15 10.63 
12.52 9.73 10.08 12.23 10.46 
10.67 10.31 11.17 10.12 10.25 
11.26 8.82 8.68 10.57 11.71 
11.64 8.94 10.89 11.43 8.70 
10.31 9.16 10.38 10.96 10.63 
10.11 10.48 11.63 9.59 9.96 
9.72 9.68 10.03 10.27 9.94 
11.77 11.35 11.71 11.20 13.15 
11.08 11.21 11.78 11.52 9.00 
12.36 9.83 11.09 10.14 10.81 
10.33 9.42 9.55 11.83 9.98 
9.62 9.43 9.68 9.29 8.88 
10.89 11.35 12.21 14.48 10.51 
7.99 9.14 8.67 8.27 8.18 
12.44 10.41 10.99 10.75 10.61 
9.92 10.12 10.54 8.01 10.15 
9.74 11.74 11.87 9.75 10.07 
9.03 8.80 10.57 8.67 11.04 
8.31 11.60 10.46 11.11 10.83 
9.74 9.86 10.35 10.02 9.73 
13.37 11.38 11.56 11.21 11.00 
10.14 9.93 9.63 9.24 9.67 
10.68 11.73 12.62 11.88 11.90 
8.65 10.68 11.13 11.09 12.70 
9.86 8.27 10.45 8.68 8.03 
8.83 11.35 10.64 9.31 10.07 
9.29 10.20 11.09 9.14 8.82 
8.53 10.14 10.27 10.78 10.23 
11.04 9.68 9.93 10.17 12.18 
10.97 10.60 10.17 9.00 9.97 
13.39 9.41 10.83 13.51 11.00 
7.86 10.17 7.62 10.51 10.70 
