h11 h12 h13 h14 h15
103.87 120.24 113.99 128.68 113.65 
113.72 118.27 132.18 109.16 132.49 
139.43 122.94 122.87 145.59 110.55 
102.64 138.04 115.23 132.57 128.47 
116.22 111.64 120.11 127.50 105.08 
138.91 112.34 132.29 112.72 123.88 
136.23 118.99 89.56 129.83 136.56 
134.70 128.22 118.58 136.08 110.38 
143.22 135.44 124.66 134.97 131.96 
120.32 117.01 103.00 107.94 119.07 
130.92 124.53 129.34 118.90 136.43 
124.70 95.06 132.75 109.80 105.38 
103.24 97.33 114.02 117.14 127.41 
102.61 87.50 122.10 119.19 112.73 
108.33 95.47 116.00 120.73 105.91 
97.51 101.30 99.63 97.15 107.29 
74.04 100.11 88.43 91.22 90.40 
95.57 87.85 93.77 87.08 97.28 
102.83 90.59 90.29 89.13 90.06 
94.87 88.04 81.80 84.60 98.09 
88.43 98.40 93.72 76.89 91.05 
84.21 99.47 89.59 93.19 99.05 
96.92 98.04 93.86 87.35 93.39 
100.63 94.65 98.62 100.83 96.96 
98.93 93.59 90.42 103.97 92.16 
86.47 86.98 84.39 100.42 86.60 
104.58 97.02 90.49 102.37 87.83 
100.49 84.78 93.80 101.70 88.20 
80.75 75.81 96.49 100.62 96.36 
86.75 97.20 101.05 105.95 90.73 
73.51 91.18 99.46 80.43 90.03 
94.45 93.94 81.88 94.95 72.81 
101.79 106.98 93.48 96.43 86.29 
70.43 84.35 101.37 93.06 101.74 
89.91 94.88 101.79 101.19 71.86 
102.91 97.13 90.42 93.19 100.28 
95.33 106.58 82.10 92.91 102.65 
97.57 99.90 90.37 97.09 84.04 
88.61 91.25 101.36 96.61 102.20 
104.16 102.14 93.94 90.44 87.48 
98.73 80.29 98.88 74.95 102.99 
99.68 85.68 104.58 84.90 84.91 
89.49 87.88 89.18 101.89 93.27 
103.36 94.72 100.03 80.58 98.00 
79.20 98.33 84.65 103.65 72.83 
99.63 102.59 95.20 80.62 90.51 
79.51 95.19 105.17 100.52 85.69 
94.59 105.70 91.60 105.51 96.58 
109.22 95.76 114.07 82.90 118.07 
90.32 113.49 94.93 119.31 106.92 
