h11 h12 h13 h14 h15
6.68 6.43 6.76 6.57 6.27 
9.08 8.01 8.06 7.59 9.20 
8.23 8.34 10.60 8.39 8.67 
7.41 6.79 9.57 7.04 6.27 
7.84 7.14 6.81 7.50 7.27 
8.46 9.56 9.36 8.10 9.66 
9.60 8.27 7.93 8.01 10.18 
7.90 8.15 8.32 7.97 7.76 
8.55 8.64 9.11 8.82 8.80 
8.18 7.42 10.02 9.07 9.29 
8.73 8.57 8.96 6.62 8.28 
8.97 8.31 10.41 8.88 9.31 
6.38 8.10 8.56 8.25 8.35 
9.50 9.45 9.14 8.89 9.27 
10.47 7.46 7.32 8.89 10.19 
9.06 6.54 7.98 6.70 6.47 
9.27 6.86 8.81 6.98 9.16 
7.35 7.52 7.90 7.40 7.77 
8.71 9.09 9.22 8.80 9.74 
10.50 8.55 8.15 8.33 9.40 
7.66 8.25 7.79 8.29 7.32 
7.67 8.18 6.04 9.48 9.39 
9.60 8.24 8.26 7.73 9.93 
8.25 8.32 8.34 6.37 8.27 
10.32 9.99 9.78 8.42 8.13 
7.84 8.53 8.55 8.38 8.43 
9.24 9.17 10.26 9.49 7.17 
6.52 8.32 8.51 8.76 8.56 
8.11 9.71 9.97 7.59 7.95 
8.03 7.38 7.87 7.82 7.80 
8.67 10.91 9.16 10.28 10.65 
8.77 8.69 9.02 8.88 9.29 
9.05 9.26 9.93 6.45 8.72 
6.63 7.32 9.08 8.63 9.19 
10.59 8.25 8.24 7.84 7.86 
7.73 7.99 8.21 7.44 7.79 
10.85 10.18 9.94 8.86 8.58 
8.11 9.53 7.69 8.19 9.76 
7.92 8.14 7.66 7.66 10.11 
6.89 7.58 7.02 9.63 7.08 
7.29 7.07 7.43 9.64 7.29 
9.36 6.21 6.58 6.45 6.31 
7.62 7.87 7.22 6.61 7.46 
9.02 8.59 10.29 8.48 6.05 
7.08 7.19 7.34 7.54 7.56 
9.08 9.27 11.64 9.43 10.45 
9.17 7.50 6.98 7.01 6.64 
7.14 6.58 6.77 6.72 6.84 
9.23 9.05 9.42 9.88 7.36 
7.56 10.63 9.65 9.46 8.14 
