h11 h12 h13 h14 h15 h16 h17
0.87 1.00 0.90 0.95 0.74 0.70 0.80 
1.33 0.91 1.18 0.87 1.09 1.03 0.81 
1.52 0.93 1.01 1.33 0.89 1.01 1.14 
1.67 0.70 1.49 1.60 0.83 1.84 1.63 
2.10 1.19 2.13 1.84 1.67 1.90 1.86 
1.68 1.39 2.67 1.68 1.59 2.05 2.51 
1.16 1.11 1.49 1.41 1.18 1.37 1.28 
1.72 1.05 2.01 1.86 1.63 2.54 1.68 
1.16 0.65 1.70 1.00 0.76 1.94 1.48 
1.27 0.65 2.01 1.55 1.05 1.97 1.24 
1.46 2.03 1.91 1.27 1.03 2.06 1.63 
1.17 1.92 1.78 1.31 1.06 1.99 1.10 
1.40 1.92 1.87 1.11 0.97 1.94 1.28 
1.12 1.75 1.80 1.21 0.89 1.83 1.26 
1.32 2.06 2.04 1.42 0.98 2.00 1.40 
1.27 2.18 2.14 1.44 1.54 2.20 1.34 
1.35 2.06 2.10 1.42 1.01 2.06 1.19 
1.20 1.82 1.98 1.37 1.00 1.96 1.58 
1.50 2.14 2.26 1.06 0.97 2.29 1.39 
1.22 1.87 1.74 1.27 1.15 1.81 1.39 
1.59 2.34 2.10 1.39 1.62 2.28 1.57 
1.24 1.99 1.97 1.38 1.10 2.04 1.19 
1.28 1.57 1.11 1.16 1.23 1.11 1.13 
0.95 1.82 1.88 1.19 1.12 1.75 1.27 
1.15 1.84 1.81 1.22 1.15 1.58 1.61 
1.17 1.94 2.01 1.31 1.09 2.05 1.38 
1.14 1.88 1.75 1.30 1.16 1.61 1.30 
1.08 2.12 2.05 1.16 0.96 2.02 1.34 
1.09 1.87 2.04 0.97 0.90 1.59 1.11 
1.40 1.57 1.61 0.97 0.89 1.83 1.10 
1.02 1.80 1.75 1.19 0.96 1.75 1.14 
1.37 1.85 2.05 1.17 0.90 1.96 1.39 
0.92 1.68 1.61 1.09 0.83 1.47 0.97 
1.23 2.00 1.87 1.10 0.99 2.00 1.32 
1.21 1.93 1.86 1.32 1.22 1.85 1.38 
1.35 1.93 1.82 0.98 0.88 1.98 1.32 
1.35 1.87 1.73 1.18 0.73 1.81 1.11 
1.37 2.10 1.91 1.19 1.41 2.09 1.32 
1.00 1.81 1.74 1.14 0.79 1.78 1.19 
1.10 1.78 1.82 1.36 1.19 1.82 1.24 
1.35 1.80 1.84 1.21 1.03 1.92 1.11 
1.19 1.73 1.87 1.36 0.87 1.79 1.21 
1.52 1.64 1.74 1.00 1.07 1.80 1.42 
1.13 1.97 2.00 1.45 1.05 1.80 1.59 
1.62 1.91 1.95 1.23 1.05 1.98 1.21 
1.24 1.91 1.76 1.25 0.90 1.95 1.64 
1.18 1.69 1.95 0.80 0.85 2.00 1.24 
1.33 1.88 1.79 1.23 1.00 1.83 1.13 
1.13 1.91 1.69 1.11 1.16 1.65 1.24 
1.36 1.94 1.94 1.21 1.17 1.96 1.17 
