h11 h12 h13 h14 h15 h16 h17
0.70 1.03 0.85 0.67 0.57 0.77 0.64 
0.86 0.63 1.26 1.37 0.59 0.75 1.02 
0.82 1.02 0.65 1.08 1.23 0.49 0.57 
0.66 1.58 1.08 0.51 1.82 1.62 1.41 
0.76 1.26 0.70 1.24 1.32 1.25 0.83 
0.69 1.25 1.26 0.97 1.50 1.20 0.70 
2.31 2.57 3.23 2.78 2.87 2.77 3.17 
2.91 2.07 2.10 2.11 2.70 2.68 2.29 
1.89 1.26 1.84 1.06 1.76 1.34 1.08 
1.98 1.20 1.68 1.15 1.73 1.21 1.32 
1.77 0.99 1.72 1.17 1.82 1.07 1.00 
2.08 1.46 2.13 1.15 2.40 1.25 1.72 
2.50 1.40 2.42 1.54 2.50 1.80 2.04 
2.17 1.34 2.19 1.49 2.10 1.38 1.71 
1.96 1.12 2.04 1.38 1.92 1.24 1.19 
1.81 1.08 1.76 1.21 1.71 0.85 1.31 
2.18 1.42 2.21 1.22 2.33 0.97 1.16 
2.78 1.65 2.77 1.75 2.78 1.70 1.89 
2.34 1.78 2.52 1.65 2.77 1.56 1.72 
2.35 2.07 2.48 1.46 2.49 1.78 1.58 
1.70 1.12 1.96 1.06 1.38 1.33 1.57 
2.49 1.70 2.47 2.24 2.71 1.49 1.47 
1.80 1.11 1.66 1.29 1.69 1.13 1.43 
2.02 1.53 2.13 1.14 2.22 1.58 1.92 
1.96 1.29 2.07 1.22 1.87 1.07 1.05 
2.65 1.94 2.40 1.49 2.51 1.54 2.02 
2.81 1.87 2.76 1.62 2.65 1.71 1.87 
2.59 1.56 2.68 1.84 2.64 1.46 2.05 
1.63 1.19 1.57 1.01 2.05 1.10 1.14 
1.78 1.69 2.00 1.46 2.30 1.28 1.82 
1.21 1.03 1.75 1.35 1.79 1.22 1.37 
2.06 2.19 2.46 1.87 2.35 1.69 1.56 
1.77 1.26 1.87 1.13 1.92 1.30 1.66 
2.47 1.93 2.45 1.44 2.58 1.52 1.72 
2.70 1.77 2.71 1.05 2.79 1.66 1.73 
1.21 2.09 1.85 1.15 2.14 1.34 1.04 
1.21 1.26 1.46 1.22 2.11 1.27 1.66 
0.96 1.16 1.14 1.04 1.57 1.06 1.20 
2.18 2.26 1.89 2.10 3.29 1.83 1.99 
1.44 1.86 1.26 1.36 2.15 1.30 1.48 
1.23 1.14 1.00 1.09 0.92 1.16 1.16 
1.53 1.64 1.77 1.21 2.03 1.75 1.52 
1.23 2.06 1.39 1.29 2.21 1.20 1.74 
1.22 2.17 2.04 1.39 2.11 1.29 1.17 
1.23 1.88 1.85 1.87 2.26 1.69 1.35 
1.09 1.79 1.55 1.60 1.89 1.14 1.03 
0.98 1.67 1.33 1.35 1.41 1.10 1.19 
1.07 1.59 1.71 1.73 1.94 0.90 1.03 
1.19 2.02 1.94 1.86 1.99 1.35 1.45 
1.57 2.19 2.10 2.14 1.98 1.05 1.08 
