h11 h12 h13 h14 h15
0.53 0.44 0.60 0.67 0.57 
0.55 0.71 0.35 0.36 0.52 
0.83 0.74 0.59 0.79 0.31 
0.72 0.73 0.70 1.32 0.69 
0.66 1.20 0.74 0.62 0.97 
0.91 1.17 0.77 0.68 0.72 
1.23 0.92 0.42 0.49 0.33 
0.72 1.26 0.87 0.94 0.72 
0.92 1.37 1.99 0.76 0.86 
1.53 1.05 1.35 0.53 1.59 
1.64 0.76 0.88 1.58 1.53 
1.59 1.05 1.54 1.09 1.77 
1.16 0.77 0.41 1.27 1.13 
1.41 1.08 0.62 1.50 1.46 
1.31 1.24 0.67 1.29 1.42 
1.25 1.29 0.59 1.38 1.34 
1.32 1.44 0.49 1.39 1.34 
1.28 1.31 0.58 1.12 1.26 
1.45 1.46 0.38 1.37 1.55 
1.41 1.17 0.53 1.35 1.45 
1.19 1.16 0.48 1.19 1.23 
1.37 1.27 0.48 1.28 1.31 
1.45 1.37 0.60 1.39 1.49 
1.39 1.38 0.72 1.42 1.47 
1.12 1.25 0.61 1.33 1.29 
1.08 1.08 0.55 1.16 1.13 
1.24 1.29 0.59 1.27 1.34 
1.41 1.40 0.73 1.31 1.35 
1.15 1.17 0.37 1.19 1.21 
1.29 1.16 0.58 1.25 1.33 
1.27 1.36 0.55 1.24 1.32 
1.30 1.43 0.46 1.32 1.37 
1.34 1.39 0.75 1.36 1.41 
1.26 1.33 0.59 1.31 1.27 
1.44 1.29 0.51 1.48 1.46 
1.25 1.21 0.54 1.10 1.21 
1.39 1.46 0.62 1.31 1.24 
1.21 1.36 0.76 1.33 1.31 
1.29 1.21 0.52 1.24 1.26 
1.36 1.30 0.53 1.44 1.35 
1.20 1.20 0.39 1.28 1.24 
1.39 1.42 0.84 1.35 1.41 
1.42 1.31 0.65 1.48 1.40 
1.53 1.55 0.58 1.50 1.41 
1.19 1.21 0.42 1.15 1.19 
1.23 1.16 0.62 1.28 1.21 
1.46 1.54 0.54 1.46 1.54 
1.33 1.31 0.62 1.25 1.27 
1.54 1.44 0.70 1.48 1.49 
1.13 1.12 0.51 1.23 1.30 
