h11 h12 h13 h14 h15 h16 h17
7.73 8.15 8.32 7.95 8.58 8.88 8.31 
13.16 12.48 14.70 16.28 13.13 15.67 13.49 
13.16 12.65 13.70 12.18 12.92 11.94 12.23 
17.07 14.33 16.06 18.51 13.80 12.69 13.41 
9.75 9.15 8.82 9.55 10.13 9.80 10.36 
13.19 13.45 12.97 13.31 15.87 18.54 16.05 
8.96 10.58 13.68 11.82 9.85 11.77 8.36 
10.93 10.42 11.53 10.64 11.82 13.33 12.22 
11.75 11.25 15.29 12.28 11.20 12.34 10.92 
12.19 10.85 10.81 9.04 10.31 8.76 14.97 
9.38 8.95 9.91 8.57 9.60 8.43 8.21 
13.33 12.10 12.58 12.93 13.15 12.12 12.95 
11.83 11.62 12.06 11.80 12.96 14.00 12.36 
11.64 11.28 14.41 12.42 11.82 14.90 15.75 
9.61 9.53 10.01 7.72 10.64 9.71 10.81 
11.96 11.59 11.53 16.61 11.33 12.48 14.18 
9.32 10.42 9.58 10.55 10.93 9.97 10.45 
11.78 12.84 11.92 11.99 12.39 12.77 11.80 
14.67 13.52 11.88 14.15 11.17 14.43 11.65 
11.96 12.64 11.17 15.78 11.30 11.85 11.22 
9.64 10.29 9.49 9.85 9.90 9.73 9.32 
13.93 13.32 10.59 13.59 13.18 12.46 10.71 
11.89 16.50 12.58 11.91 12.07 13.14 13.22 
12.70 10.32 9.64 8.41 9.63 9.47 6.12 
9.44 8.75 9.25 12.89 9.15 9.60 9.65 
10.65 9.72 11.00 10.97 10.98 9.89 10.53 
13.41 13.92 13.55 11.20 13.00 13.36 11.44 
11.34 13.11 15.56 11.82 12.19 11.40 14.73 
11.07 10.86 10.50 8.51 10.01 12.61 11.63 
10.44 12.56 10.78 11.29 11.42 11.38 11.11 
12.29 11.45 14.01 11.75 11.05 13.09 10.56 
11.98 10.73 11.15 12.31 11.74 11.02 13.70 
14.09 13.30 13.43 10.39 12.99 9.83 9.57 
9.17 11.46 9.99 9.28 10.00 10.14 10.85 
15.78 10.87 15.20 12.79 10.90 11.73 13.38 
9.14 9.42 9.56 12.08 8.99 9.69 8.87 
12.82 11.76 9.44 10.77 9.41 11.68 9.88 
10.71 11.45 13.98 14.62 13.18 14.24 10.57 
10.90 11.26 10.09 8.36 9.84 11.05 10.44 
11.19 12.15 11.67 9.88 11.28 14.12 12.15 
12.48 9.51 9.66 10.12 12.78 9.92 12.04 
10.22 11.08 11.06 12.73 11.27 10.60 10.58 
10.64 11.45 12.39 11.96 11.78 12.46 11.39 
11.92 11.66 13.82 14.64 13.16 13.54 13.46 
11.01 13.82 12.27 13.86 11.57 11.18 12.49 
11.96 10.18 13.26 13.42 12.16 12.35 12.68 
14.70 11.43 10.91 14.22 11.66 12.76 14.02 
9.75 13.05 10.04 12.24 10.79 10.37 10.53 
14.88 10.19 10.02 11.89 9.85 10.47 11.97 
9.10 10.05 11.24 11.24 8.13 9.18 8.48 
