h11 h12 h13 h14 h15
94.90 86.70 100.12 108.58 102.75 
105.74 122.66 121.18 128.95 115.75 
106.27 114.70 102.35 103.10 109.05 
108.36 118.49 100.51 114.81 103.41 
104.97 112.13 96.56 89.60 104.24 
115.52 88.95 107.35 109.48 93.12 
108.04 106.52 109.40 94.69 106.21 
112.44 94.01 101.09 114.13 97.05 
101.61 110.55 89.78 104.90 99.48 
103.47 110.06 104.31 84.81 100.83 
113.43 85.71 108.40 96.01 105.83 
111.01 111.21 97.89 97.00 91.91 
94.88 99.90 112.32 117.05 104.62 
106.59 103.87 100.77 105.73 113.26 
102.35 100.31 115.90 115.05 98.24 
110.20 101.39 111.92 95.25 101.41 
101.00 107.81 93.53 89.34 111.95 
94.55 109.44 101.98 102.93 107.89 
115.08 95.24 111.71 107.18 93.90 
87.08 101.91 105.72 107.16 111.01 
99.94 102.91 87.97 113.32 110.68 
102.31 82.52 101.85 113.03 106.12 
108.62 85.21 96.98 109.72 98.26 
106.64 89.46 108.30 87.89 101.73 
111.08 92.24 101.65 108.66 106.13 
102.10 107.67 108.46 110.33 89.65 
111.72 99.09 107.65 101.03 102.52 
108.59 93.11 101.45 85.10 113.11 
101.33 102.31 112.36 90.16 96.20 
102.82 102.11 111.86 106.41 86.48 
108.82 108.28 82.08 91.87 101.71 
103.31 113.72 106.33 88.73 105.36 
99.33 101.36 95.77 96.03 109.13 
83.58 105.18 99.35 100.82 99.09 
107.42 108.23 116.08 98.40 108.08 
97.23 108.73 101.92 108.75 92.25 
103.73 109.18 116.88 108.12 100.40 
97.94 88.36 111.74 104.96 106.76 
77.41 108.78 101.60 86.65 103.86 
106.51 107.31 79.50 108.47 98.41 
104.47 111.71 91.73 113.44 91.62 
106.21 111.95 111.01 89.61 97.40 
108.09 105.17 91.50 95.17 113.32 
110.36 95.81 108.10 92.15 103.40 
110.92 97.30 109.12 95.51 113.33 
113.06 104.63 100.57 105.57 88.18 
92.12 96.12 105.12 104.96 109.53 
110.19 98.24 108.59 91.19 95.54 
111.08 89.57 106.82 100.60 96.24 
107.93 100.79 93.02 97.60 111.09 
