h11 h12 h13
4.35 4.55 4.33 
4.92 4.50 6.29 
5.44 4.54 4.53 
6.37 6.42 6.25 
7.09 7.86 7.54 
8.38 6.38 8.52 
7.19 7.12 7.00 
6.91 8.42 8.01 
8.63 7.80 7.71 
7.64 6.56 5.82 
6.40 5.86 6.16 
5.44 7.43 7.04 
4.52 5.38 4.73 
4.39 4.45 4.53 
5.24 5.31 4.99 
5.12 5.23 5.13 
6.43 5.43 5.35 
4.97 5.14 4.94 
6.01 5.71 5.60 
5.45 5.74 5.49 
5.34 5.46 5.55 
4.97 5.53 6.21 
5.45 5.71 5.55 
5.21 6.03 5.35 
5.66 5.35 5.25 
5.53 6.31 5.70 
5.53 5.84 5.67 
5.28 5.17 6.24 
4.83 4.72 4.62 
5.23 5.63 5.78 
4.31 5.78 6.44 
4.76 5.26 5.18 
5.58 5.88 5.15 
5.09 4.92 5.11 
5.36 5.55 5.43 
4.08 5.67 6.37 
5.20 5.02 5.25 
5.60 5.98 5.47 
5.56 5.31 5.14 
5.85 5.71 5.61 
6.23 4.68 5.07 
4.87 5.12 5.25 
5.71 5.66 5.50 
5.53 4.94 5.18 
6.24 4.98 5.37 
4.70 5.80 5.23 
5.06 5.01 4.82 
6.10 4.56 6.52 
5.42 5.38 4.66 
5.19 5.22 5.99 
