h11 h12 h13
44.85 51.33 44.67 
52.77 49.11 52.77 
57.31 48.36 51.27 
52.64 47.91 53.34 
56.15 46.36 49.58 
50.85 54.38 49.30 
44.55 53.67 49.68 
39.10 45.47 52.49 
52.16 50.16 46.16 
55.62 48.13 44.69 
45.47 53.78 46.67 
53.12 42.77 52.61 
46.37 55.40 46.92 
44.56 51.78 49.37 
46.42 51.58 55.31 
44.80 46.53 54.03 
53.08 45.94 53.66 
52.93 53.08 47.03 
48.43 55.68 44.96 
45.09 53.74 48.47 
38.00 49.74 53.42 
44.49 52.20 51.28 
53.85 47.86 53.02 
48.65 53.22 53.68 
51.14 50.97 52.98 
41.45 55.06 49.53 
50.42 53.81 38.31 
37.74 52.49 48.67 
42.49 49.02 54.60 
50.95 48.95 49.65 
49.71 56.90 51.83 
49.92 51.09 50.42 
56.07 51.18 50.53 
55.22 51.36 48.24 
47.19 52.25 34.06 
41.07 40.83 52.82 
50.92 53.89 46.91 
47.27 39.86 54.68 
43.55 53.90 42.45 
52.21 54.03 45.29 
49.87 54.23 33.00 
52.79 47.97 49.58 
45.86 54.40 44.75 
47.43 46.96 52.82 
53.93 48.94 53.11 
51.90 52.15 55.35 
47.31 43.32 53.34 
48.35 52.86 46.41 
45.67 52.68 54.28 
43.83 53.54 54.04 
