h11 h12 h13
57.78 62.69 51.67 
59.93 54.43 53.76 
45.97 54.70 53.10 
51.91 52.06 56.32 
49.80 42.61 54.24 
50.42 44.35 52.89 
49.23 53.98 48.89 
54.21 46.61 51.98 
47.70 54.34 47.53 
45.41 52.48 53.72 
53.97 50.11 56.62 
49.86 48.93 50.47 
55.12 55.67 49.95 
51.23 49.44 53.65 
47.64 57.38 52.97 
53.29 45.44 55.70 
50.35 45.22 49.17 
51.86 54.20 46.43 
42.46 55.25 50.74 
39.18 55.11 47.94 
42.03 44.61 55.42 
43.93 48.84 54.92 
48.24 54.85 51.90 
48.93 41.28 55.21 
48.92 46.43 55.04 
26.89 44.70 52.07 
48.17 55.59 49.63 
43.91 53.91 53.09 
46.18 54.11 48.37 
46.79 51.01 50.78 
58.19 53.89 51.49 
46.62 47.92 54.54 
42.02 52.17 51.23 
44.64 50.35 55.41 
51.03 45.62 48.11 
39.20 55.55 50.21 
52.75 47.75 45.18 
52.09 52.72 48.43 
54.49 49.02 43.72 
45.19 54.62 50.21 
52.84 43.64 52.40 
43.50 46.94 53.88 
46.71 53.33 52.56 
50.10 54.46 49.61 
53.88 51.05 43.40 
54.77 43.85 39.46 
48.77 49.54 50.94 
53.77 51.32 58.08 
50.12 54.26 47.81 
47.97 51.57 48.51 
