h11 h12 h13
3.75 4.49 4.37 
5.69 4.88 5.00 
5.25 5.68 4.83 
4.47 5.02 4.69 
5.14 5.00 5.65 
5.47 5.16 5.30 
4.72 5.15 5.18 
5.86 4.13 5.80 
5.25 5.40 5.82 
4.53 5.79 4.68 
4.80 5.09 4.99 
5.23 5.74 5.47 
5.42 5.34 5.19 
4.95 4.54 6.00 
5.15 4.97 5.11 
5.54 5.58 5.53 
6.29 4.97 5.43 
5.34 5.40 5.33 
5.46 5.48 5.73 
5.38 5.56 5.47 
4.75 5.82 4.43 
5.19 5.26 4.79 
5.38 5.49 5.29 
5.47 5.16 5.52 
5.93 4.57 5.46 
4.84 5.10 5.10 
6.17 5.42 5.04 
5.60 4.76 5.27 
4.85 5.29 5.68 
5.49 4.88 4.90 
4.64 4.84 5.55 
4.99 4.59 4.64 
5.71 4.05 5.96 
5.53 5.03 5.68 
5.19 5.77 4.90 
5.11 5.09 4.92 
5.41 5.40 5.30 
5.92 3.97 5.67 
5.23 5.35 5.57 
4.48 5.98 4.42 
5.49 5.19 5.36 
4.17 5.82 5.69 
5.03 5.17 5.24 
5.58 6.26 5.16 
5.10 4.96 4.85 
5.68 5.67 4.76 
4.90 4.99 5.70 
5.23 5.06 5.12 
5.27 4.97 5.58 
5.72 4.44 5.52 
