h11 h12 h13 h14 h15
8.33 7.82 7.20 7.84 7.16 
9.56 9.24 10.41 9.35 11.22 
12.21 10.40 10.81 11.45 11.13 
12.88 12.58 11.35 13.01 12.89 
12.51 11.91 12.10 12.71 12.37 
12.24 12.39 12.66 11.45 11.37 
16.33 11.51 11.52 10.25 11.17 
11.32 8.68 11.12 10.61 11.46 
14.23 15.29 14.97 15.84 14.68 
14.97 15.95 15.17 15.58 14.85 
16.49 14.92 15.60 15.86 17.17 
16.56 15.81 14.90 15.68 16.26 
15.15 15.98 19.99 16.08 16.97 
14.16 13.00 15.33 13.64 12.31 
15.83 19.13 14.85 14.68 14.44 
13.38 14.57 12.98 13.07 13.78 
13.19 13.01 11.37 13.10 10.90 
9.38 9.48 9.12 10.95 10.01 
9.39 8.48 6.21 9.14 9.32 
11.33 10.92 11.22 11.16 10.19 
10.99 11.85 11.74 11.34 10.26 
9.21 9.48 11.58 11.46 8.95 
9.52 10.04 8.13 10.65 9.72 
9.39 10.76 10.81 8.72 10.91 
10.76 9.90 11.05 9.61 9.30 
10.81 14.25 11.28 11.00 10.55 
9.08 8.21 8.07 8.31 8.72 
9.03 11.67 9.38 10.78 11.25 
8.31 10.58 12.59 10.23 12.07 
9.27 9.35 9.31 8.92 9.73 
10.24 10.83 14.14 10.67 10.33 
8.40 9.53 9.17 8.59 8.63 
10.64 11.51 10.41 9.98 9.81 
11.34 10.91 12.18 12.28 12.68 
11.23 12.89 12.07 12.65 11.47 
15.30 16.39 18.25 16.04 15.64 
14.36 11.51 11.29 16.51 12.80 
10.41 10.05 10.45 11.33 12.73 
11.75 12.58 10.18 9.81 11.52 
10.57 11.51 12.36 13.73 10.80 
13.75 10.60 10.08 11.19 10.44 
9.40 10.42 12.27 11.49 11.28 
11.46 11.63 13.06 12.38 13.53 
14.48 14.94 15.18 14.05 15.47 
12.49 12.34 11.85 10.60 12.34 
10.93 10.48 10.97 8.52 11.03 
9.13 10.14 10.43 9.68 10.82 
10.88 10.30 10.95 9.04 9.30 
10.38 10.83 9.08 10.82 10.52 
10.02 10.27 11.10 10.49 10.75 
