h11 h12 h13
4.48 4.15 4.55 
5.54 5.28 5.38 
5.54 5.41 5.61 
5.37 5.51 5.55 
5.72 4.56 4.52 
4.58 5.68 4.97 
5.59 5.73 5.88 
5.57 5.92 5.67 
5.89 5.71 5.42 
5.61 5.58 5.45 
5.42 6.06 5.91 
5.47 5.29 5.25 
5.88 6.07 5.53 
5.13 6.06 4.76 
5.16 5.00 5.01 
5.92 4.47 4.59 
5.18 4.95 5.07 
5.00 6.18 4.84 
5.54 5.40 5.49 
5.67 4.69 5.65 
5.21 5.41 5.54 
5.69 5.84 6.79 
5.29 5.41 4.98 
5.26 5.66 5.56 
5.56 5.39 5.54 
6.53 6.94 6.80 
6.69 5.80 5.19 
5.38 5.53 5.63 
5.18 5.04 5.05 
6.03 6.17 6.27 
6.28 6.30 7.24 
4.75 5.61 4.65 
4.87 5.18 5.02 
5.32 5.10 5.23 
5.29 5.52 5.23 
5.20 5.32 5.05 
5.01 5.88 3.99 
4.65 5.23 4.98 
4.13 5.73 5.68 
5.11 5.91 4.94 
5.08 5.20 4.98 
5.24 5.39 5.53 
5.01 4.86 5.78 
4.96 5.00 5.15 
5.66 5.14 5.01 
5.01 5.26 5.11 
5.25 5.34 5.42 
5.43 5.52 5.35 
5.11 5.77 5.02 
4.95 4.33 5.36 
