h11 h12 h13 h14 h15
92.07 93.69 97.07 77.79 100.46 
88.94 81.86 91.94 73.84 80.79 
91.81 79.39 88.71 72.75 79.88 
91.23 70.42 76.45 78.42 84.06 
86.68 90.74 80.55 79.18 92.06 
66.44 79.73 92.07 74.03 89.69 
78.86 81.46 86.83 90.56 70.33 
78.53 85.40 90.55 88.16 76.32 
92.55 71.57 78.29 87.66 84.32 
81.42 74.42 81.04 85.22 92.69 
73.62 87.95 79.69 81.06 87.52 
85.93 92.86 82.57 95.85 80.59 
77.41 75.86 85.11 78.32 92.07 
94.02 84.88 78.52 84.72 93.95 
81.65 92.32 82.02 85.48 77.14 
85.39 85.45 87.30 74.49 84.94 
91.58 92.45 85.59 94.48 85.60 
85.99 93.03 86.23 86.35 89.10 
75.71 72.43 93.38 86.53 87.85 
79.26 82.00 72.65 92.12 83.58 
85.48 76.17 71.73 89.87 87.86 
73.60 90.57 89.14 81.73 87.30 
78.81 93.64 89.26 78.92 88.60 
85.29 69.76 77.82 89.96 90.69 
89.56 93.50 81.39 89.44 65.35 
69.31 84.43 79.31 91.47 79.16 
80.50 72.20 90.13 81.83 86.92 
84.14 92.74 90.16 77.03 89.06 
90.21 76.90 87.43 86.16 90.45 
91.66 87.30 79.66 93.80 87.26 
93.13 82.90 78.08 80.51 82.71 
90.23 80.99 68.97 78.99 79.21 
89.24 77.30 76.74 87.47 76.10 
89.62 79.23 91.57 75.46 71.45 
69.31 88.40 87.40 90.69 63.38 
92.57 84.12 79.85 90.52 86.70 
88.65 76.48 90.82 82.98 73.88 
89.86 89.89 79.77 73.83 82.57 
75.87 87.53 92.20 76.21 89.41 
86.53 87.63 86.01 92.23 84.27 
81.37 76.90 82.04 92.42 86.78 
92.43 82.24 87.50 85.27 62.46 
83.31 77.59 92.21 89.34 75.79 
76.90 81.99 80.44 80.14 88.82 
78.23 82.12 82.31 88.70 92.35 
73.21 88.69 85.89 90.02 65.86 
78.78 89.90 84.20 87.22 84.12 
81.92 90.59 77.92 92.75 89.71 
87.48 85.20 85.79 86.82 82.91 
82.07 91.84 94.60 89.29 89.22 
