h11 h12 h13 h14 h15
6.11 6.14 8.09 6.56 6.27 
7.89 7.49 7.15 7.81 8.06 
10.13 9.77 10.24 9.16 12.36 
7.66 6.95 7.81 7.65 10.02 
7.54 7.22 8.65 7.38 7.63 
10.43 10.05 11.00 9.95 11.93 
10.33 10.66 10.31 7.72 10.48 
10.45 6.82 9.22 10.36 9.04 
6.81 8.76 9.38 9.41 8.95 
10.01 7.92 10.33 10.24 10.39 
9.17 8.58 10.24 8.69 9.52 
9.87 12.04 7.78 8.07 8.51 
5.07 7.23 7.02 7.13 7.33 
9.41 9.03 9.33 9.13 8.96 
10.10 9.07 9.21 10.41 8.69 
7.83 9.26 7.75 8.00 8.17 
8.31 8.36 8.62 8.76 8.39 
9.31 8.65 8.47 10.41 11.12 
7.45 8.82 7.25 7.37 8.26 
7.87 8.14 8.44 8.57 8.28 
9.05 9.76 8.45 8.75 11.35 
7.24 9.15 7.31 7.27 6.95 
8.98 6.91 7.02 6.94 7.16 
7.65 6.09 8.01 8.20 8.76 
7.88 9.67 7.24 7.49 9.68 
7.97 7.57 7.00 7.31 9.57 
9.09 7.27 7.16 9.33 9.60 
7.10 7.72 8.03 8.39 8.15 
7.70 9.52 7.58 9.37 9.40 
9.11 8.85 9.31 8.67 8.62 
8.48 8.93 10.19 8.43 8.63 
8.30 7.67 7.42 9.81 8.44 
7.65 7.16 7.57 7.25 7.68 
9.57 6.99 8.82 9.13 9.05 
9.17 8.73 8.87 9.31 8.95 
9.58 9.32 9.77 6.63 8.88 
10.60 9.02 7.84 7.80 9.99 
6.95 7.27 6.99 6.95 7.12 
9.68 9.51 9.50 7.47 9.76 
8.53 8.91 8.73 10.04 8.98 
7.21 7.46 8.97 8.85 8.68 
8.32 10.44 8.03 8.17 10.43 
7.99 7.56 7.63 7.33 7.18 
10.01 9.84 8.58 10.09 10.02 
7.90 7.46 8.08 7.83 7.65 
9.04 9.45 7.46 9.71 9.44 
8.02 10.11 8.36 8.06 8.56 
7.56 7.97 7.67 7.24 7.04 
8.00 7.81 9.86 10.08 11.47 
6.75 6.75 6.75 7.87 6.92 
