h11 h12 h13 h14 h15
0.85 0.62 0.48 0.54 0.42 
0.66 0.75 0.46 0.56 0.60 
0.78 0.73 0.50 0.63 0.67 
0.99 0.91 1.37 0.86 0.74 
0.86 0.39 0.72 0.39 0.50 
0.70 0.80 1.10 1.22 0.64 
1.10 0.70 1.31 0.97 1.26 
1.16 0.50 0.98 0.86 2.10 
0.96 1.68 1.36 0.92 1.01 
1.08 1.65 1.63 0.90 0.96 
1.05 1.57 1.48 1.54 1.01 
0.74 1.27 1.44 1.47 0.90 
0.89 1.38 1.36 1.19 0.83 
1.01 1.29 1.11 1.23 0.91 
0.78 1.33 1.35 1.24 0.67 
1.06 1.50 1.45 1.40 0.95 
0.69 1.22 1.26 1.51 0.80 
0.94 1.29 1.23 1.30 0.80 
0.95 1.48 1.42 1.39 0.99 
0.79 1.36 1.27 1.33 0.89 
0.86 1.33 1.40 1.37 0.99 
0.86 1.34 1.27 1.30 0.80 
0.82 1.38 1.40 1.37 0.97 
0.90 1.36 1.39 1.41 1.04 
0.76 1.26 1.35 1.29 0.82 
0.90 1.46 1.40 1.21 0.96 
0.76 1.37 1.19 1.17 0.89 
0.72 1.37 1.33 1.29 0.85 
0.68 1.37 1.25 1.33 0.77 
0.69 1.12 1.17 1.17 0.58 
0.78 1.31 1.40 1.37 0.89 
0.66 1.08 1.25 1.27 0.59 
0.93 1.45 1.42 1.33 0.90 
0.87 1.13 1.28 1.28 0.83 
0.78 1.41 1.37 1.31 0.82 
0.85 1.21 1.18 1.09 0.77 
0.74 1.21 1.24 1.27 0.81 
1.21 1.52 1.62 1.62 1.11 
0.87 1.20 1.33 1.43 0.92 
0.82 1.27 1.39 1.28 0.68 
0.91 1.36 1.25 1.29 0.82 
1.00 1.37 1.35 1.41 0.96 
0.93 1.38 1.32 1.41 0.84 
0.80 1.38 1.40 1.23 0.86 
0.83 1.27 1.63 1.30 0.98 
0.81 1.22 1.18 1.15 0.71 
0.68 1.21 1.23 1.27 0.76 
0.87 1.37 1.48 1.34 0.95 
0.92 1.29 1.26 1.36 0.83 
0.92 1.41 1.34 1.43 0.85 
